,256GB 12GB RAM,Dimensions,Camera,_4,Phonebook,Model Image,Type_1,Build,Penta,_1,Battery (old),Model Name,Loudspeaker_1,Messaging,Card slot,Brand,Speed,EDGE,SAR,Quad,Sensors,Video_1,Charging,_2,GPU,Announced,CPU,Positioning,Technology,Loudspeaker,SIM,_3,2G bands,3.5mm jack,Video,NFC,Triple,4G bands,Features,Java,Features_1,Price,Display,Single_1,Type,256GB 8GB RAM,Games,Chipset,WLAN,Call records,3G bands,Size,Single,Protection,Bluetooth,Radio,USB,Dual,Status,Internal,Performance,OS,256GB 6GB RAM,Colors,Audio quality,Battery (new),5G bands,512GB 12GB RAM,GPRS,Weight,Infrared port,Resolution
IP68 dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810G compliant,,175.6 x 82.5 x 17.2 mm (6.91 x 3.25 x 0.68 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-power-armor-14-pro-.jpg,Li-Po 10000 mAh,,,eMMC 5.1,,Ulefone Power Armor 14 Pro,,,microSDXC (uses shared SIM slot),Ulefone,"HSPA, LTE",,,,"Fingerprint (side-mounted), accelerometer, proximity, compass",1080p@30fps,18W wired15W wireless,,Mali-G52 MC2,"2022, March 09",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,Yes,"20 MP, f/1.8, 26mm (wide), 1/2.78"", 1.0µm, PDAF2 MP, f/2.8, (macro)2 MP, f/2.4, (depth)","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 38, 40","LED flash, HDR, panorama",,"HDR, panorama",About 260 EUR,,,IPS LCD,,,Mediatek MT6769Z Helio G85 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"6.52 inches, 102.6 cm2(~70.8% screen-to-body ratio)","16 MP, f/2.2",Corning Gorilla Glass 3,"5.0, A2DP, LE","FM radio, RDS, recording","USB Type-C 2.0, OTG",,"Available. Released 2022, March 09",128GB 6GB RAM,,Android 12,,Black,,,,,,358.2 g (12.63 oz),,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)"
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.2mMIL-STD-810G compliant,,158.2 x 76.7 x 14.6 mm (6.23 x 3.02 x 0.57 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-x10-pro.jpg,Li-Po 5180 mAh,,,eMMC 5.1,,Ulefone Armor X10 Pro,,,microSDXC (dedicated slot),Ulefone,"HSPA 21/5.76 Mbps, LTE Cat6 300/150 Mbps",,,,"Accelerometer, proximity, compass",1080p@30fps,10W wired,,PowerVR GE8320,"2022, March 10",Octa-core 2.0 GHz Cortex-A53,"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28",Dual-LED flash,,HDR,About 170 EUR,,,IPS LCD,,,Mediatek MT6762 Helio P22 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"5.45 inches, 76.7 cm2(~63.2% screen-to-body ratio)","5 MP, f/2.2",,"5.0, A2DP, LE","FM radio, RDS, recording","USB Type-C 2.0, OTG","20 MP, f/1.8, 26mm (wide), 1/2.78"", 1.0µm, PDAF2 MP, (depth)","Available. Released 2022, March 10",64GB 4GB RAM,,Android 11,,Black/Gray,,,,,,256 g (9.03 oz),,"720 x 1440 pixels, 18:9 ratio (~295 ppi density)"
eMMC 5.1,,165.2 x 76.7 x 9.7 mm (6.50 x 3.02 x 0.38 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-note-10p.jpg,Li-Po 5500 mAh,"Plastic frame, plastic back",,,,Ulefone Note 10P,,,microSDXC (dedicated slot),Ulefone,"HSPA, LTE",,,,"Fingerprint (rear-mounted), accelerometer, proximity",,10W wired,,PowerVR GE8300,"2022, March 23",Quad-core (1x2.0 GHz Cortex-A75 & 3x1.8 GHz Cortex-A55),"GPS, GLONASS",GSM / HSPA / LTE,Yes,Nano-SIM + Micro-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,"13 MP, f/2.0, AF2 MP, (macro)2 MP, (depth)","1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 26, 66",LED flash,,,About 110 EUR,,,IPS LCD,,,Unisoc Tiger T310 (12 nm),Wi-Fi 802.11 b/g/n,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"6.52 inches, 102.6 cm2(~81.0% screen-to-body ratio)","8 MP, f/2.0",,"5.0, A2DP, LE","Stereo FM radio, RDS, recording","microUSB 2.0, OTG",,"Available. Released 2022, March 23",128GB 3GB RAM,,Android 11,,"Moonlight Black, Aurora Red, Emerald Green",,,,,,203 g (7.16 oz),,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)"
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.2mMIL-STD-810G compliant,,158.2 x 76.7 x 14.6 mm (6.23 x 3.02 x 0.57 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-x10.jpg,Li-Po 5180 mAh,,,eMMC 5.1,,Ulefone Armor X10,,,microSDXC (dedicated slot),Ulefone,"HSPA 21/5.76 Mbps, LTE Cat6 300/150 Mbps",,,,"Accelerometer, proximity, compass",1080p@30fps,10W wired,,PowerVR GE8320,"2021, December 24",Quad-core 2.0 GHz Cortex-A53,"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28",Dual-LED flash,,HDR,About 130 EUR,,,IPS LCD,,,Mediatek MT6761 Helio A22 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"5.45 inches, 76.7 cm2(~63.2% screen-to-body ratio)","5 MP, f/2.2",,"5.0, A2DP, LE","FM radio, RDS, recording","USB Type-C 2.0, OTG","13 MP, f/2.2, (wide), AF2 MP, (depth)","Available. Released 2021, December 24",32GB 4GB RAM,,Android 11,,Black/Gray,,,,,,256 g (9.03 oz),,"720 x 1440 pixels, 18:9 ratio (~295 ppi density)"
eMMC 5.1,,162.3 x 75.7 x 9.9 mm (6.39 x 2.98 x 0.39 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-note-13p.jpg,Li-Po 5180 mAh,,,,,Ulefone Note 13P,,,microSDXC (dedicated slot),Ulefone,"HSPA, LTE",,,,"Fingerprint (side-mounted), accelerometer, proximity, compass",1080p@30fps,10W wired,,PowerVR GE8320,"2021, November 24",Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28","LED flash, HDR, panorama",,HDR,About 130 EUR,,,IPS LCD,,,Mediatek MT6765G Helio G35 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"6.5 inches, 102.0 cm2(~83.0% screen-to-body ratio)","16 MP, f/2.2, (wide), 1/3.09, 1.0µm",,"5.0, A2DP, LE","Stereo FM radio, RDS, recording",USB Type-C 2.0,"20 MP, f/1.8, 25mm (wide), 1/2.78, 1.0µm, AF2 MP, f/2.8, (macro)","Available. Released 2021, November 24",64GB 4GB RAM,,Android 11,,"Starry Black, Mystery Blue",,,,,,198.5 g (7.02 oz),,"1080 x 2400 pixels, 20:9 ratio (~405 ppi density)"
eMMC 5.1,,173.6 x 79.1 x 10.2 mm (6.83 x 3.11 x 0.40 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-note-12p.jpg,Li-Po 7700 mAh,,,,,Ulefone Note 12P,,,microSDXC (dedicated slot),Ulefone,"HSPA, LTE",,,,"Fingerprint (side-mounted), accelerometer, proximity",720p@30fps,10W wired,,IMG8322,"2021, October 25",Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),"GPS, GLONASS, BDS",GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,"13 MP, (wide), AF2 MP, (macro)2 MP, (depth)","1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20","LED flash, HDR, panorama",,HDR,About 130 EUR,,,IPS LCD,,,Unisoc SC9863A (28 nm),Wi-Fi 802.11 b/g/n,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"6.82 inches, 110.5 cm2(~80.4% screen-to-body ratio)",8 MP,,"4.2, A2DP","Stereo FM radio, RDS, recording",USB Type-C 2.0,,"Available. Released 2021, October 25",64GB 4GB RAM,,Android 11,,"Black, Red, Blue",,,,,,237 g (8.36 oz),,720 x 1640 pixels (~263 ppi density)
eMMC 5.1,,155.4 x 73.4 x 8.5 mm (6.12 x 2.89 x 0.33 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-note-6p.jpg,Li-Po 3300 mAh,,,,,Ulefone Note 6P,,,microSDXC (dedicated slot),Ulefone,"HSPA 21.1/5.76 Mbps, LTE",,,,"Accelerometer, proximity",,,,IMG8322,"2021, October 25",Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),"GPS, GLONASS, BDS",GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,,"1, 3, 5, 7, 8, 20",LED flash,,,About 90 EUR,,5 MP,IPS LCD,,,Unisoc SC9863A (28 nm),Wi-Fi 802.11 b/g/n,,HSDPA 850 / 900 / 2100,"6.1 inches, 91.3 cm2(~80.1% screen-to-body ratio)",8 MP,,"4.2, A2DP","Stereo FM radio, RDS, recording",microUSB 2.0,,"Available. Released 2021, October 25",32GB 2GB RAM,,Android 11 (Go edition),,"Black, Green, Purple, Red",,,,,,155 g (5.47 oz),,"720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)"
IP68 dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810G compliant,,175.6 x 82.5 x 17.2 mm (6.91 x 3.25 x 0.68 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-power-armor-14.jpg,Li-Po 10000 mAh,,,eMMC 5.1,,Ulefone Power Armor 14,,,microSDXC (uses shared SIM slot),Ulefone,"HSPA, LTE",,,,"Fingerprint (side-mounted), accelerometer, proximity, compass",1080p@30fps,18W wired15W wireless,,PowerVR GE8320,"2021, October 15",Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,Yes,"20 MP, f/1.8, 26mm (wide), 1/2.78"", 1.0µm, PDAF2 MP, f/2.8, (macro)2 MP, f/2.4, (depth)","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 38, 40","LED flash, HDR, panorama",,"HDR, panorama",About 230 EUR,,,IPS LCD,,,Mediatek MT6765G Helio G35 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"6.52 inches, 102.6 cm2(~70.8% screen-to-body ratio)","16 MP, f/2.2",Corning Gorilla Glass 3,"5.0, A2DP, LE","FM radio, RDS, recording","USB Type-C 2.0, OTG",,"Available. Released 2021, October 15",64GB 4GB RAM,,Android 11,,Black,,,,,,358.2 g (12.63 oz),,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)"
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.2mMIL-STD-810G compliant,,158 x 77.5 x 13.9 mm (6.22 x 3.05 x 0.55 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-x9-pro.jpg,Li-Po 5000 mAh,,,eMMC 5.1,,Ulefone Armor X9 Pro,,,microSDXC (uses shared SIM slot),Ulefone,"HSPA 21/5.76 Mbps, LTE Cat6 300/150 Mbps",,,,"Accelerometer, proximity, compass",1080p@30fps,10W wired,,PowerVR GE8320,"2021, September 07",Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 28","Dual-LED flash, HDR, panorama",,HDR,About 160 EUR,,,IPS LCD,,,Mediatek MT6762D Helio A25 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"5.5 inches, 78.1 cm2(~63.8% screen-to-body ratio)",5 MP,,"5.0, A2DP, LE","FM radio, RDS, recording","microUSB 2.0, OTG","13 MP, f/2.2, (wide), AF2 MP, (depth)","Available. Released 2021, September 07",64GB 4GB RAM,,Android 11,,"Red, Black, Green",,,,,,235 g (8.29 oz),,"720 x 1440 pixels, 18:9 ratio (~293 ppi density)"
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.2mMIL-STD-810G compliant,,158 x 77.5 x 13.9 mm (6.22 x 3.05 x 0.55 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-x9.jpg,Li-Po 5000 mAh,,,eMMC 5.1,,Ulefone Armor X9,,,microSDXC (uses shared SIM slot),Ulefone,"HSPA 21/5.76 Mbps, LTE Cat6 300/150 Mbps",,,,"Accelerometer, proximity, compass",1080p@30fps,10W wired,,PowerVR GE8320,"2021, September 07",Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 28","Dual-LED flash, HDR, panorama",,HDR,About 150 EUR,,,IPS LCD,,,Mediatek MT6762D Helio A25 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"5.5 inches, 78.1 cm2(~63.8% screen-to-body ratio)",5 MP,,"5.0, A2DP, LE","FM radio, RDS, recording","microUSB 2.0, OTG","13 MP, f/2.2, (wide), AF2 MP, (depth)","Available. Released 2021, September 07",32GB 3GB RAM,,Android 11,,"Red, Black, Green",,,,,,235 g (8.29 oz),,"720 x 1440 pixels, 18:9 ratio (~293 ppi density)"
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.2mMIL-STD-810G compliant,,160.3 x 79 x 13.8 mm (6.31 x 3.11 x 0.54 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-x81.jpg,Li-Po 5080 mAh,,,eMMC 5.1,,Ulefone Armor X8i,,,microSDXC (uses shared SIM slot),Ulefone,"HSPA 21.1/5.76 Mbps, LTE Cat7 300/150 Mbps",,,,"Fingerprint (rear-mounted), accelerometer, proximity, compass",1080p@30fps,10W wired,,PowerVR GE8320,"2021, September 23",Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,Yes,"13 MP, f/2.2, (wide), AF2 MP, (depth)2 MP, (depth)","1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 28","Dual-LED flash, HDR, panorama",,,About 150 EUR,,,IPS LCD,,,Mediatek MT6762D Helio A25 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"5.7 inches, 83.8 cm2(~66.2% screen-to-body ratio)","8 MP, f/2.4",,"5.0, A2DP, LE","FM radio, RDS, recording",USB Type-C 2.0,,"Available. Released 2021, September 23",32GB 3GB RAM,,Android 11,,"Black, Orange, Red",,,,,,256 g (9.03 oz),,"720 x 1440 pixels, 18:9 ratio (~282 ppi density)"
CDMA 800 / 1900 & TD-SCDMA,,175.9 x 82.5 x 14.3 mm (6.93 x 3.25 x 0.56 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-12.jpg,Li-Po 5180 mAh,"Front glass, aluminum back with rubber, aluminum frame",,CDMA2000 1xEV-DO,,Ulefone Armor 12 5G,,,microSDXC,Ulefone,"HSPA, LTE, 5G",,,"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF8 MP, f/2.2, (ultrawide)2 MP, f/2.6, (macro)2 MP, f/2.4, (depth)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, coulombmeter",1080p@30fps,18W wired15W wireless,IP68 dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.2mMIL-STD-810G compliant,Mali-G57 MC2,"2021, August 14",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / CDMA / HSPA / EVDO / LTE / 5G,"Yes, with dual speakers",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,No,1440p@30fps,Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66","Dual-LED flash, HDR, panorama",,"HDR, panorama",About 370 EUR,,,IPS LCD,,,Mediatek Dimensity 700 (7 nm),"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"6.52 inches, 104.4 cm2(~71.9% screen-to-body ratio)","16 MP, f/2.2",,"5.1, A2DP, LE","Wireless FM radio, RDS","USB Type-C 2.0, OTG",,"Available. Released 2021, August 23",128GB 8GB RAM,,Android 11,,"Black/Orange, Gray/Black",,,"1, 3, 28, 38, 41, 77, 78 SA/NSA",,,296 g (10.44 oz),,"720 x 1560 pixels, 19.5:9 ratio (~264 ppi density)"
IP68 dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.2mMIL-STD-810G compliant,,183.7 x 85.4 x 20.8 mm (7.23 x 3.36 x 0.82 in),Photo/Video,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-power-armor-13-.jpg,Li-Po 13200 mAh,,"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF8 MP, f/2.2, (ultrawide)2 MP, f/2.6, (macro)2 MP, f/2.4, (depth)","Infrared distance measure (error range: 1~20m, ±10mm; 20~40m, ±25mm)",Endurance rating 296h,Ulefone Power Armor 13,-28.3 LUFS (Average),,microSDXC (uses shared SIM slot),Ulefone,"HSPA 42.2/11.5 Mbps, LTE Cat12 600/150 Mbps",,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, baroceptor, coulombmeter",1080p@30fps,33W wired15W wireless5W reverse wireless,,Mali-G76 MC4,"2021, July 22",Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,"4K@30fps, 1080p@30fps",Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 38, 40, 66","Quad-LED flash, HDR, panorama",,"HDR, panorama",About 300 EUR,"1306:1 contrast ratio, 401 nits max brightness (measured)",,IPS LCD,,,Mediatek MT6785V/CD Helio G95 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"6.81 inches, 112.0 cm2(~71.4% screen-to-body ratio)","16 MP, f/2.2",Corning Gorilla Glass 3,"5.0, A2DP, LE","FM radio, RDS, recording",,,"Available. Released 2021, July 26",256GB 8GB RAM,"AnTuTu: 294194 (v8), 351678 (v9)GeekBench: 1610 (v5.1)GFXBench: 18fps (ES 3.1 onscreen)",Android 11,,Black,,,,,,492 g (1.08 lb),,"1080 x 2400 pixels, 20:9 ratio (~386 ppi density)"
eMMC 5.1,,155.4 x 73.4 x 8.5 mm (6.12 x 2.89 x 0.33 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-note6.jpg,Li-Po 3300 mAh,,,,,Ulefone Note 6,,,microSDXC (dedicated slot),Ulefone,HSPA 21.1/5.76 Mbps,,,,"Accelerometer, proximity",,,,Mali-T820 MP1,"2021, July 11",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,Yes,Nano-SIM + Micro-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,,,LED flash,,,,,2 MP,IPS LCD,,,Unisoc SC7731e,Wi-Fi 802.11 b/g/n,,HSDPA 850 / 900 / 1900 / 2100,"6.1 inches, 91.3 cm2(~80.1% screen-to-body ratio)",5 MP,,"4.2, A2DP","Stereo FM radio, RDS, recording",microUSB 2.0,,"Available. Released 2021, July 11",32GB 1GB RAM,,Android 11 (Go edition),,"Black, Green, Purple, Red",,,,,,155 g (5.47 oz),,"720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)"
eMMC 5.1,,243.6 x 162.4 x 7.9 mm (9.59 x 6.39 x 0.31 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-tab-a7.jpg,Li-Po 7680 mAh,,,,,Ulefone Tab A7,,,microSDXC (uses shared SIM slot),Ulefone,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,"Accelerometer, proximity",,10W wired,,IMG8322,"2021, May 27",Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),"GPS, GLONASS, BDS",GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,"4K@30fps, 1080p@30fps",No,,"1, 2, 3, 5, 7, 8, 20","LED flash, HDR, panorama",,,About 130 EUR,,5 MP,IPS LCD,,,Unisoc SC9863A (28 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 1900 / 2100,"10.1 inches, 295.8 cm2(~74.8% screen-to-body ratio)",13 MP,,"5.0, A2DP, LE","FM radio, RDS, recording","USB Type-C 2.0, OTG",,"Available. Released 2021, May 27",64GB 4GB RAM,,Android 11,,Space Gray,,,,,,566 g (1.25 lb),,"1200 x 1920 pixels, 16:10 ratio (~224 ppi density)"
CDMA 800 / 1900 & TD-SCDMA,,163.8 x 81.6 x 14.2 mm (6.45 x 3.21 x 0.56 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-11t-5g.jpg,Li-Po 5200 mAh,"Front glass, aluminum back with rubber, aluminum frame","48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAFFLIR thermal camera (Lepton module)5 MP2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",CDMA2000 1xEV-DO,,Ulefone Armor 11T 5G,,,No,Ulefone,"HSPA, LTE, 5G",,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, baroceptor",1080p@30fps,18W wired10W wireless,IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.2mMIL-STD-810G compliant,Mali-G57 MP4,"2021, May 29",Octa-core (4x2.0 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55),"GPS, GLONASS, GALILEO, BDS",GSM / CDMA / HSPA / EVDO / LTE / 5G,Yes,Nano-SIM + Nano-SIM,UFS 2.1,GSM 850 / 900 / 1800 / 1900,Yes,"4K@30fps, 1080p@30fps",Yes,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66","Dual-LED dual-tone flash, HDR, panorama",,"HDR, panorama",About 590 EUR,,,IPS LCD,,,Mediatek Dimensity 800 (7 nm),"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"6.1 inches, 91.3 cm2(~68.3% screen-to-body ratio)","16 MP, f/2.0",Oleophobic coating,"5.0, A2DP, LE","FM radio, RDS, recording","USB Type-C 2.0, OTG",,"Available. Released 2021, June 07",256GB 8GB RAM,,Android 11,,Black,,,"1, 3, 5, 8, 20, 28, 38, 41, 77, 78, 79 SA/NSA",,,293 g (10.34 oz),,"720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)"
IP68 dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.2mMIL-STD-810G compliant,,166 x 81.8 x 15 mm (6.54 x 3.22 x 0.59 in),,,,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-8-pro.jpg,Li-Po 5580 mAh,"Front glass, aluminum back with rubber, aluminum frame",,,,Ulefone Armor 8 Pro,,,microSDXC (uses shared SIM slot),Ulefone,"HSPA 42.2/11.5 Mbps, LTE Cat7 300/150 Mbps",,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",1080p@30fps,15W wired,,Mali-G72 MP3,"2021, April 28",Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,Yes,"16 MP, f/2.2, (wide), PDAF5 MP, f/2.4, (macro)2 MP, f/2.2, (depth)","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 66","LED flash, Panorama, HDR",,,About 190 EUR,,,IPS LCD,,,Mediatek MT6771 Helio P60 (12 nm),"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"6.1 inches, 91.3 cm2(~67.3% screen-to-body ratio)","8 MP, f/2.2","Scratch-resistant glass, oleophobic coating","4.2, A2DP, LE","FM radio, RDS, recording","USB Type-C 2.0, OTG",,"Available. Released 2021, April 28","128GB 6GB RAM, 128GB 8GB RAM",,Android 11,,"Black, Orange, Red",,,,,,282 g (9.95 oz),,"720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)"
