,Single_1,Alert types,OS,128GB 12GB RAM,Stand-by_1,3.5mm jack,Loudspeaker_1,Chipset,Call records,Status,Features_1,Display,128GB 8GB RAM,Browser,Talk time,Alarm,32GB 2GB RAM,Clock,_7,64GB 6GB RAM,256GB 8GB RAM,Music play,GPRS,EDGE,Radio,Charging,4G bands,Camera,Stand-by,64GB 4GB RAM,Price,_3,Keyboard,Dual,Single,Talk time_1,2G bands,Resolution,512GB 8GB RAM,128GB 4GB RAM,Announced,Technology,_1,SAR,_6,_8,GPU,Battery (new),Model Image,Size,Model Name,1TB 12GB RAM,64GB 3GB RAM,Phonebook,5G bands,Positioning,128GB 6GB RAM,Type_1,Java,Features,CPU,256GB 4GB RAM,SAR EU,_2,_9,SIM,Triple,Infrared port,Battery (old),16GB 2GB RAM,Card slot,Protection,Messaging,Dimensions,512GB 16GB RAM,Internal,USB,Models,512GB 12GB RAM,Loudspeaker,Bluetooth,_10,Games,Quad,Weight,WLAN,Video,Languages,Speed,Build,NFC,_5,16GB 1.5GB RAM,Brand,32GB 3GB RAM,256GB 12GB RAM,Audio quality,Colors,Type,Performance,Dual_1,3G bands,Video_1,_4,Sensors
,,,"Android 14, up to 2 major Android upgrades, One UI 6.1",,,Yes,,Qualcomm SM6225 Snapdragon 680 4G (6 nm),,"Available. Released 2024, September 05",,,,,,,,,,,,,,,Unspecified,25W wired,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,,"₹ 8,749","₹ 8,749",,,,"13 MP, f/2.0, (wide)",,GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~393 ppi density)",,,"2024, August 02",GSM / HSPA / LTE,,0.56 W/kg (head),,,Adreno 610,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-f14-4g.jpg,"6.7 inches, 108.4 cm2(~82.9% screen-to-body ratio)",Samsung Galaxy F14 4G,,,,,"GPS, GALILEO, GLONASS, BDS, QZSS",,5000 mAh,,"LED flash, panorama, HDR",Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),,,,,Nano-SIM + Nano-SIM,"50 MP, f/1.8, (wide), PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",,,,microSDXC (dedicated slot),,,168 x 77.8 x 8.8 mm (6.61 x 3.06 x 0.35 in),,64GB 4GB RAM,USB Type-C 2.0,"SM-E145F, SM-E145F/DS",,Yes,"5.1, A2DP, LE",,,,194 g (6.84 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",1080p@30/60fps,,"HSPA, LTE","Glass front, plastic back, plastic frame",No,,,Samsung,,,,"Moonlight Silver, Peppermint Green","PLS LCD, 90Hz",,,HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (side-mounted), accelerometer, proximity"
CDMA 800 / 1900,,,"Android 14, up to 4 major Android upgrades, One UI 6.1.1",,,No,-26.5 LUFS (Good),Qualcomm SM8650-AC Snapdragon 8 Gen 3 (4 nm),,"Available. Released 2024, July 24",HDR,1630 nits max brightness (measured),,,,,,,32-bit/384kHz audioTuned by AKG,,,,,,No,"25W wired, QC2.0, 50% in 30 min15W wireless4.5W reverse wireless","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 38, 39, 40, 41, 66 - International",,,,"€ 1,449.99 / $ 1,099.00 / £ 1,349.00 / ₹ 135,590","1, 2, 5, 7, 25, 28, 41, 66, 71, 77, 78, 257, 258, 260, 261 SA/NSA/Sub6/mmWave - USA",,,"4 MP, f/1.8, 26mm (wide), 1/3.0"", 2.0µm, under displayCover camera:10 MP, f/2.2, 24mm (wide), 1/3.0"", 1.22µm",,GSM 850 / 900 / 1800 / 1900,1856 x 2160 pixels (~374 ppi density),,,"2024, July 10",GSM / CDMA / HSPA / EVDO / LTE / 5G,CDMA2000 1xEV-DO,,UFS 4.0,Samsung DeX (desktop experience support)Ultra Wideband (UWB) supportCircle to Search,Adreno 750 (1 GHz),Active use score 11:31h,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-z-fold6.jpg,"7.6 inches, 185.2 cm2(~91.0% screen-to-body ratio)",Samsung Galaxy Z Fold6,"€ 1,819.99",,,"1, 2, 3, 5, 7, 8, 12, 20, 25, 26, 28, 38, 40, 41, 66, 75, 77, 78 SA/NSA/Sub6 - International","GPS, GALILEO, GLONASS, BDS, QZSS",,Li-Po 4400 mAh,,"LED flash, HDR, panorama",8-core (1x3.39GHz Cortex-X4 & 3x3.1GHz Cortex-A720 & 2x2.9GHz Cortex-A720 & 2x2.2GHz Cortex-A520),,1.24 W/kg (head)     1.39 W/kg (body),"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 18, 19, 20, 25, 26, 28, 29, 30, 38, 39, 40, 41, 48, 66, 71 - USA",,Nano-SIM +eSIMeSIM + eSIMNano-SIM + Nano-SIM (SM-F9560),"50 MP, f/1.8, 23mm (wide), 1/1.57"", 1.0µm, dual pixel PDAF, OIS10 MP, f/2.4, 66mm (telephoto), 1/3.94"", 1.0µm, PDAF, OIS, 3x optical zoom12 MP, f/2.2, 123˚, 12mm (ultrawide), 1/3.2"", 1.12µm",,,,No,,,Unfolded: 153.5 x 132.6 x 5.6 mmFolded: 153.5 x 68.1 x 12.1 mm,,"256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM","USB Type-C 3.2, OTG","SM-F956B, SM-F956B/DS, SM-F956U, SM-F956U1, SM-F956N, SM-F956W, SM-F9560","€ 1,525.16","Yes, with stereo speakers","5.3, A2DP, LE, aptX HD",,,,239 g (8.43 oz),"Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct","8K@30fps, 4K@60fps, 1080p@60/120/240fps (gyro-EIS), 720p@960fps (gyro-EIS), HDR10+",,"HSPA, LTE (CA), 5G","Glass front (Gorilla Glass Victus 2) (folded), plastic front (unfolded), glass back (Gorilla Glass Victus 2), aluminum frame",Yes,"Cover display:Dynamic LTPO AMOLED 2X, 120Hz, 2600 nits (peak), Corning Gorilla Glass Victus 26.3 inches, 968 x 2376 pixels, 410 ppi",,Samsung,,"€ 1,449.99",,"Navy, Silver Shadow, Pink, Black, White","Foldable Dynamic LTPO AMOLED 2X, 120Hz, HDR10+, 2600 nits (peak)",AnTuTu: 1608744 (v10)GeekBench: 6757 (v6)3DMark: 4644 (Wild Life Extreme),,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"4K@30/60fps, 1080p@30/60fps, gyro-EIS",IP48 water resistant (up to 1.5m for 30 min)Armor aluminum frameStylus support,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer"
CDMA 800 / 1900,,,"Android 14, One UI 6.1.1",,,No,-26.3 LUFS (Good),Qualcomm SM8650-AC Snapdragon 8 Gen 3 (4 nm),,"Available. Released 2024, July 24",HDR,1475 nits max brightness (measured),,,,,,,UFS 4.0,,,,,,No,"25W wired, QC2.0, 50% in 30 min15W wireless4.5W reverse wireless","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 38, 39, 40, 41, 66 - International",,,,"€ 719.47 / $ 685.00 / £ 644.79 / ₹ 65,999","1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 18, 19, 20, 25, 26, 28, 29, 30, 38, 39, 40, 41, 48, 66, 71 - USA",,"50 MP, f/1.8, 23mm (wide), 1/1.57"", 1.0µm, dual pixel PDAF, OIS12 MP, f/2.2, 13mm, 123˚ (ultrawide), 1/3.2"", 1.12µm","10 MP, f/2.2, 23mm (wide), 1/3.0"", 1.22µm",,GSM 850 / 900 / 1800 / 1900,1080 x 2640 pixels (~426 ppi density),,,"2024, July 10",GSM / CDMA / HSPA / EVDO / LTE / 5G,HSDPA 850 / 900 / 1900 / 2100,,"Cover display:Super AMOLED, 60Hz, 1600 nits (peak), 3.4 inches, 720 x 748 pixels (Gorilla Glass Victus 2), 306 ppi",32-bit/384kHz audio,Adreno 750 (1 GHz),Active use score 10:35h,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-z-flip6.jpg,"6.7 inches, 101.5 cm2(~85.5% screen-to-body ratio)",Samsung Galaxy Z Flip6,,,,"1, 2, 3, 5, 7, 8, 12, 20, 25, 26, 28, 38, 40, 41, 66, 75, 77, 78 SA/NSA/Sub6 - International","GPS, GALILEO, GLONASS, BDS, QZSS",,4000 mAh,,"LED flash, HDR, panorama",8-core (1x3.39GHz Cortex-X4 & 3x3.1GHz Cortex-A720 & 2x2.9GHz Cortex-A720 & 2x2.2GHz Cortex-A520),,1.09 W/kg (head)     1.51 W/kg (body),CDMA2000 1xEV-DO,Circle to Search,Nano-SIM +eSIMeSIM + eSIMNano-SIM + Nano-SIM (SM-F7410),,,,,No,,,Unfolded: 165.1 x 71.9 x 6.9 mmFolded: 85.1 x 71.9 x 14.9 mm,,"128GB, 256GB 12GB RAM, 512GB 12GB RAM","USB Type-C 3.2, OTG","SM-F741B, SM-F741B/DS, SM-F741U, SM-F741U1, SM-F741W, SM-F741N",€ 979.00,"Yes, with stereo speakers","5.3, A2DP, LE",,,,187 g (6.60 oz),"Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct","4K@30/60fps, 1080p@60/120/240fps, 720p@960fps, HDR10+",,"HSPA, LTE (CA), 5G","Plastic front (unfolded), glass back (Gorilla Glass Victus 2), aluminum frame",Yes,IP48 water resistant (up to 1.5m for 30 min)Armor aluminum frame,,Samsung,,€ 719.47,,"Yellow, Silver Shadow, Mint, Blue, Black, White, Peach","Foldable Dynamic LTPO AMOLED 2X, 120Hz, HDR10+, 2600 nits (peak)",AnTuTu: 1400594 (v10)GeekBench: 6265 (v6)3DMark: 4487 (Wild Life Extreme),,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,4K@30/60fps,"1, 2, 5, 7, 25, 28, 41, 66, 71, 77, 78, 257, 258, 260, 261 SA/NSA/Sub6/mmWave - USA","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer"
IP68/10 ATM certified100m water resistant (up to 10 min)MIL-STD-810H compliantECG certified,,,"Android Wear OS 5, One UI Watch 6",,,No,,Exynos W1000 (3 nm),,"Available. Released 2024, July 24",,,,,,,€ 429.00,,,,,,,,No,10W wireless,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 18, 19, 20, 25, 26, 28, 40, 66, 71",,,,€ 429.00 / $ 649.99,,,,,,GSM 850 / 900 / 1800 / 1900,480 x 480 pixels (~327 ppi density),,,"2024, July 10",GSM / HSPA / LTE,Always-on display,,,,Mali-G68,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-watch-ultra.jpg,1.5 inches,Samsung Galaxy Watch Ultra,,,,,"GPS (L1+L5), GLONASS, GALILEO, BDS",,Li-Ion 590 mAh,,,Penta-core,,0.11 W/kg (head)     0.36 W/kg (body),No,,eSIM,,,,,No,Sapphire crystal glass,,47.4 x 47.4 x 12.1 mm (1.87 x 1.87 x 0.48 in),,32GB 2GB RAM,No,"SM-L705F, SM-L705N, SM-L705U",,Yes,"5.3, A2DP, LE",,,,60.5 g (2.15 oz),"Wi-Fi 802.11 a/b/g/n, dual-band",,,"HSPA, LTE","Sapphire crystal front, ceramic/sapphire crystal back, titanium frame (grade 4)",Yes,,,Samsung,,,,"Titanium Sliver, Titanium Gray, Titanium White",Super AMOLED,,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,,"Accelerometer, gyro, heart rate, barometer, altimeter, compass, SpO2, temperature (body), temperature (water), BioActive"
MIL-STD-810H compliant*50m/5ATM water resistant (IP68)Compatible with standard 20mm strapsECG certifiedBlood pressure monitorArmor aluminum 2 frame*does not guarantee ruggedness or use in extreme conditions,,,"Android Wear OS 5, One UI Watch 6",,,No,,Exynos W1000 (3 nm),,"Available. Released 2024, July 24",,,,,,,€ 221.02,,,,,,,,No,10W wireless,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 18, 19, 20, 25, 26, 28, 40, 66, 71",,,,€ 221.02,,,,,,GSM 850 / 900 / 1800 / 1900,480 x 480 pixels (~327 ppi density),,,"2024, July 10",GSM / HSPA / LTE,Always-on display,,,,Mali-G68,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-watch7.jpg,1.5 inches,Samsung Galaxy Watch7,,,,,"GPS (L1+L5), GLONASS, GALILEO, BDS",,Li-Ion 425 mAh,,,Penta-core,,0.73 W/kg (head)     1.85 W/kg (body),No,,eSIM,,,,,No,Sapphire crystal,,44.4 x 44.4 x 9.7 mm (1.75 x 1.75 x 0.38 in),,32GB 2GB RAM,No,"SM-L310F, SM-L315F",,Yes,"5.3, A2DP, LE",,,,"33.8 g (44mm), 28.8 g (40mm) (1.02 oz)","Wi-Fi 802.11 a/b/g/n, dual-band",,,"HSPA, LTE","Glass front (Sapphire crystal), aluminum frame",Yes,,,Samsung,,,,"Cream, Silver, Green",Super AMOLED,,,HSDPA 850 / 900 / 2100,,,"Accelerometer, gyro, heart rate, barometer, altimeter, compass, SpO2, temperature (skin), BioActive"
50m/5ATM water resistant (up to 10 min)IP68 dust/water resistant (up to 1.5m for 30 min)MIL-STD-810H compliant*ECG certifiedCompatible with standard 20mm straps* does not guarantee ruggedness or use in extreme conditions,,,"Android Wear OS 4, One UI Watch 5",,,No,,Exynos W920 (5 nm),,"Available. Released 2024, June 24",,,,,,,,,,,,,,,No,Wireless,LTE,,,,€ 142.89,,,,,,GSM 850 / 900 / 1800 / 1900,396 x 396 pixels (~330 ppi density),,,"2024, June 13",GSM / HSPA / LTE,Always-on display,,,,Mali-G68,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-watch-fe-r.jpg,1.2 inches,Samsung Galaxy Watch FE,,,,,"GPS, GALILEO, GLONASS, BDS",,Li-Ion 247 mAh battery,,,Dual-core 1.18 GHz Cortex-A55,,0.52 W/kg (head)     0.17 W/kg (body),No,,eSIM,,,,,No,Sapphire crystal glass,,40.4 x 39.3 x 9.8 mm (1.59 x 1.55 x 0.39 in),,16GB 1.5GB RAM,No,"SM-R861, SM-R866",,Yes,"5.0, A2DP, LE",,,,26.6 g (0.95 oz),"Wi-Fi 802.11 a/b/g/n, dual-band",,,"HSPA, LTE","Glass front (sapphire crystal), aluminum frame",Yes,,€ 142.89,Samsung,,,,"Black, Pink Gold, Silver",Super AMOLED,,,HSDPA 850 / 900 / 2100,,,"Accelerometer, gyro, heart rate, barometer, altimeter, compass, SpO2, temperature (skin)"
Always-on display,,,"Android 14, One UI 6.1",,,No,,Exynos 1380 (5 nm),,"Available. Released 2024, May 24",,,"₹ 18,499",,,,,,,,"₹ 21,499",,,,Unspecified,25W wired,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 38, 40, 41, 66",,,,"€ 205.70 / ₹ 16,999",,,,"13 MP, f/2.2, (wide), 1/3.06"", 1.12µm",,GSM 850 / 900 / 1800 / 1900,"1080 x 2340 pixels, 19.5:9 ratio (~390 ppi density)",,,"2024, May 24",GSM / HSPA / LTE / 5G,Virtual proximity sensing,0.53 W/kg (head),,,Mali-G68 MP5,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-m35-.jpg,"6.6 inches, 106.9 cm2(~83.8% screen-to-body ratio)",Samsung Galaxy M35,,,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 77, 78 SA/NSA/Sub6","GPS, GALILEO, GLONASS, BDS, QZSS",€ 205.70,6000 mAh,,"LED flash, panorama, HDR",Octa-core (4x2.4 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),,0.31 W/kg (head)     1.30 W/kg (body),,,Nano-SIM + Nano-SIM,"50 MP, f/1.8, (wide), 1/1.96"", PDAF, OIS8 MP, f/2.2, 123˚, (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.4, (macro)",,,,microSDXC (uses shared SIM slot),Corning Gorilla Glass Victus+,,162.3 x 78.6 x 9.1 mm (6.39 x 3.09 x 0.36 in),,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","USB Type-C 2.0, OTG","SM-M356B, SM-M356B/DS",,"Yes, with stereo speakers","5.3, A2DP, LE",,,,222 g (7.83 oz),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","4K@30fps, 1080p@30/60fps, 720p@480fps, gyro-EIS",,"HSPA, LTE, 5G","Glass front (Gorilla Glass Victus+), plastic frame, glass back",Yes (market/region dependent),,,Samsung,,,,"Dark Blue, Light Blue, Gray","Super AMOLED, 120Hz, 1000 nits (HBM)",,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"4K@30fps, 1080p@30fps",,"Fingerprint (side-mounted), accelerometer, gyro, compass"
Always-on display,,,"Android 14, One UI 6.1",,,No,,Qualcomm SM7450-AB Snapdragon 7 Gen 1 (4 nm),,"Available. Released 2024, May 27",,,"₹ 18,999",,,,,,,,"₹ 22,699",,,,No,45W wired,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 25, 26, 28, 38, 40, 41, 66",,,,"₹ 18,999",,,,"50 MP, f/2.4, (wide)",,GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~393 ppi density)",,,"2024, May 17",GSM / HSPA / LTE / 5G,,0.93 W/kg (head),,,Adreno 644,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-f55.jpg,"6.7 inches, 108.4 cm2(~86.4% screen-to-body ratio)",Samsung Galaxy F55,,,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6","GPS, GALILEO, GLONASS, BDS, QZSS",,5000 mAh,,"LED flash, panorama, HDR",Octa-core (1x2.4 GHz Cortex-A710 & 3x2.36 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510),,,,,Nano-SIM + Nano-SIM,"50 MP, f/1.8, (wide), 1/1.56"", 1.0µm, PDAF, OIS8 MP, f/2.2, 123˚ (ultrawide)2 MP, f/2.4, (macro)",,,,microSDXC (uses shared SIM slot),,,163.9 x 76.5 x 7.8 mm (6.45 x 3.01 x 0.31 in),,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","USB Type-C 2.0, OTG","SM-E556B/DS, SM-E556B",,"Yes, with stereo speakers","5.2, A2DP, LE",,,,180 g (6.35 oz),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","4K@30fps, 1080p@30/60fps, gyro-EIS, OIS",,"HSPA, LTE, 5G","Glass front, silicone polymer (eco leather) back, plastic frame",Yes,,,Samsung,,,,"Black, Apricot","Super AMOLED+, 120Hz, 1000 nits (HBM)",,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"4K@30fps, 1080p@30/60fps",,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
Always-on display,,,"Android 14, One UI 6.1",,,No,,Qualcomm SM7450-AB Snapdragon 7 Gen 1 (4 nm),,"Available. Released 2024, April 22",,,,,,,,,,,,,,,No,45W wired,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 25, 28, 34, 38, 39, 40, 41, 66",,,,,,,,"50 MP, f/2.4, (wide)",,GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~393 ppi density)",,,"2024, April 22",GSM / HSPA / LTE / 5G,,,,,Adreno 644,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-c55.jpg,"6.7 inches, 108.4 cm2(~86.4% screen-to-body ratio)",Samsung Galaxy C55,,,,"1, 3, 5, 8, 20, 28, 41, 66, 77, 78, 79 SA/NSA/Sub6","GPS, GALILEO, GLONASS, BDS, QZSS",,5000 mAh,,"LED flash, panorama, HDR",Octa-core (1x2.4 GHz Cortex-A710 & 3x2.36 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510),,,,,Nano-SIM + Nano-SIM,"50 MP, f/1.8, (wide), 1/1.56"", 1.0µm, PDAF, OIS8 MP, f/2.2, 123˚ (ultrawide)2 MP, f/2.4, (macro)",,,,microSDXC (uses shared SIM slot),,,163.9 x 76.5 x 7.8 mm (6.45 x 3.01 x 0.31 in),,"256GB 8GB RAM, 256GB 12GB RAM","USB Type-C 2.0, OTG",SM-C5560,,"Yes, with stereo speakers","5.2, A2DP, LE",,,,180 g (6.35 oz),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","4K@30fps, 1080p@30/60fps, gyro-EIS, OIS",,"HSPA, LTE, 5G","Glass front, silicone polymer (eco leather) back, plastic frame",Yes,,,Samsung,,,,"Black, Orange","Super AMOLED+, 120Hz, 1000 nits (HBM)",,,HSDPA 850 / 900 / 1900 / 2100,"4K@30fps, 1080p@30/60fps",,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
Always-on display,,,"Android 14, One UI 6.1",,,No,,Qualcomm SM7450-AB Snapdragon 7 Gen 1 (4 nm),,"Available. Released 2024, March 28",,,€ 277.59,,,,,,,,€ 285.04,,,,No,45W wired,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 25, 26, 28, 38, 40, 41, 66",,,,€ 277.59 / $ 279.99 / £ 279.93,,,,"50 MP, f/2.4, (wide)",,GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~393 ppi density)",,,"2024, March 28",GSM / HSPA / LTE / 5G,,0.93 W/kg (head),,,Adreno 644,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-m55.jpg,"6.7 inches, 108.4 cm2(~86.4% screen-to-body ratio)",Samsung Galaxy M55,,,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6","GPS, GALILEO, GLONASS, BDS, QZSS",,5000 mAh,,"LED flash, panorama, HDR",Octa-core (1x2.4 GHz Cortex-A710 & 3x2.36 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510),,0.96 W/kg (head)     0.98 W/kg (body),,,Nano-SIM + Nano-SIM,"50 MP, f/1.8, (wide), 1/1.56"", 1.0µm, PDAF, OIS8 MP, f/2.2, 123˚ (ultrawide)2 MP, f/2.4, (macro)",,,,microSDXC (uses shared SIM slot),,,163.9 x 76.5 x 7.8 mm (6.45 x 3.01 x 0.31 in),,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","USB Type-C 2.0, OTG","SM-M556B, SM-M556B/DS",,"Yes, with stereo speakers","5.2, A2DP, LE",,,,180 g (6.35 oz),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","4K@30fps, 1080p@30/60fps, gyro-EIS, OIS",,"HSPA, LTE, 5G",,Yes (market/region dependent),,,Samsung,,,,"Dark Blue, Light Green","Super AMOLED+, 120Hz, 1000 nits (HBM)",,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"4K@30fps, 1080p@30/60fps",,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
Stylus support,"5 MP, (wide), 1/5.0"", 1.12µm",,"Android 14, One UI 6.1",,,Yes,,Exynos 1280 (5 nm),,"Available. Released 2024, March 28",,,,,,,,,,,,,,,No,15W wired,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 25, 26, 28, 38, 40, 41, 66",,,,About 400 EUR,,,,"8 MP, (wide), 1/4.0"", 1.12µm, AF",,GSM 850 / 900 / 1800 / 1900,"1200 x 2000 pixels, 5:3 ratio (~224 ppi density)",,,"2024, March 26",GSM / HSPA / LTE,Tuned by AKG,0.95 W/kg (body),,,Mali-G68,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-s6-lite-2024.jpg,"10.4 inches, 307.9 cm2(~81.6% screen-to-body ratio)",Samsung Galaxy Tab S6 Lite (2024),,,,,"GPS, GLONASS, BDS, GALILEO, QZSS - cellular model only",,Li-Po 7040 mAh,,"HDR, panorama",Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),,,Samsung DeX,,Nano-SIM (cellular model only),,,,,microSDXC (dedicated slot),,,244.5 x 154.3 x 7 mm (9.63 x 6.07 x 0.28 in),,"64GB 4GB RAM, 128GB 4GB RAM",USB Type-C 2.0,"SM-P620, SM-P625",,"Yes, with stereo speakers","5.3, A2DP, LE",,,,465/467 g (1.03 lb),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",1080p@30fps,,"HSPA, LTE - cellular model only","Glass front, aluminum back, aluminum frame",No,,,Samsung,,,,"Gray, Mint, Rose Gold",TFT LCD,,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,1080p@30fps,,"Accelerometer, proximity, gyro (wi-fi model only)"
IP67 dust/water resistant (up to 1m for 30 min),,,"Android 14, up to 4 major Android upgrades, One UI 6.1",,,No,-25.7 LUFS (Very good),Exynos 1480 (4 nm),,"Available. Released 2024, March 15",,1010 nits max brightness (measured),€ 325.00,,,,,,,,€ 353.00,,,,No,25W wired,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 25, 26, 28, 32, 38, 40, 41, 66",,,,"€ 325.00 / $ 309.50 / £ 244.00 / ₹ 32,999",,,,"32 MP, f/2.2, 26mm (wide), 1/2.74"", 0.8µm",,GSM 850 / 900 / 1800 / 1900,"1080 x 2340 pixels, 19.5:9 ratio (~390 ppi density)",,,"2024, March 11",GSM / HSPA / LTE / 5G,Always-on display,,,,Xclipse 530,Active use score 13:27h,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a55.jpg,"6.6 inches, 106.9 cm2(~85.8% screen-to-body ratio)",Samsung Galaxy A55,,,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6","GPS, GALILEO, GLONASS, BDS, QZSS",,Li-Ion 5000 mAh,,"LED flash, panorama, HDR",Octa-core (4x2.75 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),,0.68 W/kg (head)     1.04 W/kg (body),Virtual proximity sensingCircle to Search,,Nano-SIMNano-SIM +eSIMNano-SIM + Nano-SIMNano-SIM + Nano-SIM + eSIM (max 2 at a time),"50 MP, f/1.8, (wide), 1/1.56"", 1.0µm, PDAF, OIS12 MP, f/2.2, 123˚ (ultrawide), 1/3.06"", 1.12µm5 MP, f/2.4, (macro)",,,,microSDXC (uses shared SIM slot),Corning Gorilla Glass Victus+,,161.1 x 77.4 x 8.2 mm (6.34 x 3.05 x 0.32 in),,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","USB Type-C 2.0, OTG","SM-A556V, SM-A556B, SM-A556B/DS, SM-A556E, SM-A556E/DS, SM-A5560",,"Yes, with stereo speakers","5.3, A2DP, LE",,,,213 g (7.51 oz),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","4K@30fps, 1080p@30/60fps, gyro-EIS",,"HSPA, LTE, 5G","Glass front (Gorilla Glass Victus+), glass back (Gorilla Glass), aluminum frame",Yes (market/region dependent),,,Samsung,,"₹ 39,999",,"Iceblue, Lilac, Navy, Lemon","Super AMOLED, 120Hz, HDR10+, 1000 nits (HBM)","AnTuTu: 635598 (v9), 726158 (v10)GeekBench: 3259 (v5), 3350 (v6)3DMark: 1024 (Wild Life Extreme)",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"4K@30fps, 1080p@30/60fps",,"Fingerprint (under display, optical), accelerometer, gyro, compass"
