,Price,USB,SAR EU,EDGE,SIM,Technology,Weight,GPRS,Radio,Chipset,Battery (old),Type_1,Speed,Charging,Display,Alert types,_3,Sensors,Build,Quad,Java,Single_1,CPU,GPU,Video_1,Call records,Languages,Announced,Stand-by_1,NFC,Loudspeaker,Features_1,Music play,Bluetooth,Colors,Dual,Talk time,Resolution,2G bands,Camera,4G bands,_2,Video,Messaging,Infrared port,_4,Brand,Talk time_1,Status,Type,Browser,_5,3.5mm jack,Loudspeaker_1,Phonebook,_1,Alarm,WLAN,Stand-by,Clock,Card slot,Model Name,Triple,Size,Games,Dimensions,Positioning,Model Image,SAR,Audio quality,Single,Models,OS,Protection,Internal,Keyboard,Features,3G bands
"Second external TN TFT display, 1.44 inches, 128 x 128 pixels",About 80 EUR,microUSB 2.0,,,Nano-SIM,GSM / HSPA / LTE,118 g (4.16 oz),,FM radio,Qualcomm MSM8909 Snapdragon 210 (28 nm),,"Li-Ion 1350 mAh, removable","HSPA, LTE",,,,,,,,,,Quad-core 1.1 GHz Cortex-A7,Adreno 304,,,,"2019, July 11",,No,Yes,,,"4.2, A2DP",Black,,,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",GSM 850 / 1900,,"2, 4, 5, 13",,720p@30fps,,,,alcatel,,"Available. Released 2019, July 11",TN TFT LCD,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,microSDHC (dedicated slot),alcatel Go Flip V,,"2.8 inches, 24.3 cm2(~43.8% screen-to-body ratio)",,104.9 x 52.8 x 18.7 mm (4.13 x 2.08 x 0.74 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-go-flipv.jpg,1.08 W/kg (head)     1.32 W/kg (body),,2 MP,4051S,KaiOS 2.5.2,,8GB 1GB RAM,,,HSDPA 850 / 1700(AWS) / 1900
,About 170 EUR,"USB Type-C 2.0, OTG",,,Nano-SIM,GSM / HSPA / LTE,475 g (1.05 lb),,No,MediaTek MT8766B,,Li-Po 5500 mAh,"HSPA, LTE",,,,,"Accelerometer, proximity",,,,5 MP,Quad-core 1.8 GHz,,720p@30fps,,,"2020, Q4",,No,"Yes, with dual speakers",,,"5.0, A2DP, LE",Black,,,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)",GSM 850 / 900 / 1800 / 1900,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,720p@30fps,,,,alcatel,,"Available. Released 2020, Q4",IPS LCD,,,Yes,,,,,Wi-Fi 802.11 a/b/g/n,,,microSDXC (dedicated slot),alcatel 3T10 2020,,"10.1 inches, 295.8 cm2(~75.4% screen-to-body ratio)",,243.3 x 161.2 x 9.4 mm (9.58 x 6.35 x 0.37 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-3t10-2020.jpg,,,5 MP,,Android 10,,32GB 2GB RAM,,,HSDPA 850 / 900 / 1900 / 2100
eMMC 5.1,About 170 EUR,"microUSB 2.0, OTG",,,Nano-SIM + Nano-SIM,GSM / HSPA / LTE,186 g (6.56 oz),,FM radio,Mediatek MT6762 Helio P22 (12 nm),,Li-Po 5000 mAh,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",10W wired,,,,"Fingerprint (rear-mounted), accelerometer, proximity, compass","Glass front, plastic back, plastic frame","16 MP, f/1.8, (wide), 1/2.8"", 1.12µm, PDAF5 MP, f/2.2, (ultrawide), 1/5.0"", 1.12µm2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",,,Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,1080p@30fps,,,"2020, June",,No,Yes,,,"5.0, A2DP, LE","Black, Blue",,,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",GSM 850 / 900 / 1800 / 1900,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,1080p@30fps,,,,alcatel,,"Available. Released 2020, June",IPS LCD,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,microSDXC (uses shared SIM slot),alcatel 3X (2020),,"6.52 inches, 102.6 cm2(~82.9% screen-to-body ratio)",,165 x 75 x 9.1 mm (6.50 x 2.95 x 0.36 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-3x-2020.jpg,,,"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm","5061U, 5061K_EEA, 5061K, 5061U_EEA, 5061A",Android 10,,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",,"Dual-LED dual-tone flash, HDR, panorama",HSDPA 850 / 900 / 1900 / 2100
eMMC 5.1,About 150 EUR,microUSB 2.0,,,Nano-SIM + Nano-SIM,GSM / HSPA / LTE,165 g (5.82 oz),,FM radio,Mediatek MT6762 Helio P22 (12 nm),,Li-Po 4000 mAh,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",10W wired,,,,"Fingerprint (rear-mounted), accelerometer, proximity, compass","Glass front, plastic back, plastic frame",,,,Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,1080p@30fps,,,"2020, January",,No,Yes,HDR,,"5.0, A2DP, LE","Chameleon Blue, Dark Chrome, Agate Green",,,"720 x 1520 pixels, 19:9 ratio (~270 ppi density)",GSM 850 / 900 / 1800 / 1900,,"1, 3, 5, 7, 8, 20, 28, 38, 40",,1080p@30fps,,,,alcatel,,"Available. Released 2020, May",IPS LCD,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,microSDXC (uses shared SIM slot),alcatel 3L (2020),"48 MP, f/1.8, (wide), 1/2.25"", 0.8µm, PDAF5 MP, f/2.4, (ultrawide/depth sensor), 1/5.0"", 1.12µm2 MP, f/2.4, (macro)","6.22 inches, 96.6 cm2(~81.6% screen-to-body ratio)",,158.7 x 74.6 x 8.5 mm (6.25 x 2.94 x 0.33 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-a3l-2020-.jpg,,,"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm","5029Y, 5029, 5029D, 5029D_EEA, 5029Y_EEA",Android 10,,64GB 4GB RAM,,"LED flash, HDR, panorama",HSDPA 850 / 900 / 1900 / 2100
eMMC 5.1,About 100 EUR,microUSB 2.0,,,Nano-SIM + Nano-SIM,GSM / HSPA / LTE,165 g (5.82 oz),,FM radio,Mediatek MT6762D Helio P22 (12 nm),,Li-Po 4000 mAh,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,,"Fingerprint (rear-mounted), accelerometer, proximity, compass","Glass front, plastic back, plastic frame",,,,Octa-core 1.8 GHz Cortex-A53,PowerVR GE8320,1080p@30fps,,,"2020, January",,No,Yes,,,"5.0, A2DP, LE","Agate Green, Power Grey",,,"720 x 1520 pixels, 19:9 ratio (~270 ppi density)",GSM 850 / 900 / 1800 / 1900,,"1, 3, 5, 7, 8, 20, 28, 38, 40",,1080p@30fps,,,,alcatel,,"Available. Released 2020, May",IPS LCD,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,microSDXC (uses shared SIM slot),alcatel 1S (2020),"13 MP, f/1.8, (wide), 1/3.1"", 1.12µm, AF5 MP, f/2.2, (ultrawide/depth sensor), 1/5.0"", 1.12µm2 MP, f/2.4, (macro)","6.22 inches, 96.6 cm2(~81.6% screen-to-body ratio)",,158.7 x 74.6 x 8.5 mm (6.25 x 2.94 x 0.33 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-a3l-2020-.jpg,,,"5 MP, f/2.2, (wide), 1/5.0"", 1.12µm","5028Y, 5028D, 5028D_EEA, 5028Y_EEA, 5028A",Android 10,,32GB 3GB RAM,,"LED flash, HDR, panorama",HSDPA 850 / 900 / 1900 / 2100
"HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - 5007G, 5007A",About 80 EUR,microUSB 2.0,,,Nano-SIM + Nano-SIM,GSM / HSPA / LTE,160 g (5.64 oz),,FM radio,Mediatek MT6762D Helio P22 (12 nm),,Li-Po 4000 mAh,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,,"Fingerprint (rear-mounted), accelerometer, proximity","Glass front, plastic back, plastic frame",,,,Octa-core 1.8 GHz Cortex-A53,PowerVR GE8320,1080p@30fps,,,"2020, January",,No,Yes,,,"5.0, A2DP, LE","Prime Black, Pine Green, Metallic Black, Agate Green","13 MP, f/1.8, (wide), 1/3.1"", 1.12µm, AF5 MP, f/2.4, (depth)",,"720 x 1520 pixels, 19:9 ratio (~270 ppi density)",GSM 850 / 900 / 1800 / 1900,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - 5007U",eMMC 5.1,1080p@30fps,,,,alcatel,,"Available. Released 2020, May",IPS LCD,,,Yes,,,"2, 3, 4, 5, 7, 8, 13, 17, 28, 66 - 5007G, 5007A",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,microSDXC (uses shared SIM slot),alcatel 1V (2020),,"6.22 inches, 96.6 cm2(~81.3% screen-to-body ratio)",,158.7 x 74.8 x 8.9 mm (6.25 x 2.94 x 0.35 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-a3l-2020-.jpg,,,"5 MP, f/2.2, (wide), 1/5.0"", 1.12µm","5007U, 5007G, 5007A, 5007U_EEA",Android 10,,32GB 2GB RAM,,"LED flash, HDR, panorama",HSDPA 850 / 900 / 1900 / 2100 - 5007U
eMMC 5.1,About 80 EUR,microUSB 2.0,,,Nano-SIM + Nano-SIM,GSM / HSPA / LTE,168 g (5.93 oz),,FM radio,Qualcomm QM215 Snapdragon 215 (28 nm),,Li-Ion 3000 mAh battery,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,,"Accelerometer, proximity","Glass front, plastic back, plastic frame",,,"5 MP, f/2.2, (wide), 1/5.0"", 1.12µm",Quad-core 1.3 GHz Cortex-A53,Adreno 308,1080p@30fps,,,"2020, January",,No,Yes,,,"4.2, A2DP, LE","Prime Black, Pine Green",,,"720 x 1440 pixels, 18:9 ratio (~293 ppi density)",GSM 850 / 900 / 1800 / 1900,,"1, 3, 5, 7, 8, 20, 28",,1080p@30fps,,,,alcatel,,"Available. Released 2020, May",IPS LCD,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,microSDXC (dedicated slot),alcatel 1B (2020),,"5.5 inches, 78.1 cm2(~74.6% screen-to-body ratio)",,146.1 x 71.6 x 9.9 mm (5.75 x 2.82 x 0.39 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-1b-2020.jpg,,,"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm, AF","5002A, 5002D, 5002F, 5002I, 5002M, 5002X, 5002S, 5002R, 5002D_EEA, 5002H_EEA, 5002H, 5002B, 5002C, 5002W, 5002H_TR",Android 10 (Go edition),,"16GB 2GB RAM, 32GB 2GB RAM",,"LED flash, HDR",HSDPA 850 / 900 / 1900 / 2100
eMMC 5.1,About 170 EUR,USB Type-C 2.0,,,Nano-SIM,GSM / HSPA / LTE,197.9 g (6.98 oz),,FM radio,Mediatek MT6762 Helio P22 (12 nm),,Li-Po 4000 mAh,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",15W wired,,,,"Fingerprint (rear-mounted), accelerometer, proximity, compass","Glass front (DragonTrail Pro glass), plastic back, plastic frame",,,,Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,720p@30fps,,,"2019, Q2",,No,"Yes, with stereo speakers",,,"4.2, A2DP, LE",Elegant Black,"16 MP, PDAF5 MP, f/2.4, (depth)",,"720 x 1440 pixels, 18:9 ratio (~240 ppi density)",GSM 850 / 900 / 1800 / 1900,,"1, 2, 3, 4, 5, 7, 12, 13, 17, 20, 25, 26, 41, 66, 71",,1080p@30fps,,,,alcatel,,"Available. Released 2019, Q4",IPS LCD,,,Yes,,,,,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct",,,microSDXC (dedicated slot),alcatel 3v (2019),,"6.7 inches, 115.8 cm2(~79.7% screen-to-body ratio)",,174.5 x 83.3 x 8.4 mm (6.87 x 3.28 x 0.33 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-3v-2019.jpg,,,8 MP,5032W,Android 9.0 (Pie),DragonTrail Pro,32GB 3GB RAM,,"LED flash, HDR, panorama",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100
HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - 5048A,About 150 EUR,USB Type-C 2.0,,,Nano-SIMNano-SIM + Nano-SIM,GSM / HSPA / LTE,178 g (6.28 oz),,FM radio,Mediatek MT6763V Helio P23 (16 nm),,"Li-Po 4000 mAh, non-removable","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",10W wired,,,,"Fingerprint (rear-mounted), accelerometer, proximity","Glass front, plastic back, plastic frame",,,,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),Mali-G71 MP2,1080p@30fps,,,"2019, September",,Yes,Yes,,,"4.2, A2DP, LE","Jewelry Black, Jewelry Green, Jewelry Rose",,,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",GSM 850 / 900 / 1800 / 1900,,"1, 3, 5, 7, 8, 20, 28, 38, 40 - 5048Y",eMMC 5.1,1080p@30fps,,,,alcatel,,"Available. Released 2019, Q4",IPS LCD,,,Yes,,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 28, 66 - 5048A",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,microSDXC (dedicated slot),alcatel 3x (2019),"16 MP, f/1.8, 27mm (wide), 1/2.8"", 1.12µm, PDAF8 MP, f/2.2, 17mm (ultrawide), 1/4.0"", 1.12µm5 MP, f/2.4, (depth)","6.52 inches, 102.6 cm2(~82.1% screen-to-body ratio)",,164.9 x 75.8 x 8.4 mm (6.49 x 2.98 x 0.33 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-3x-2019.jpg,,,"8 MP, f/2.0, 25mm (wide), 1/4.0"", 1.12µm","5048Y, 5048A, 5048Y_EEA, 5048I, 5048U_EEA",Android 9.0 (Pie),,"64GB 4GB RAM, 128GB 6GB RAM",,"Dual-LED dual-tone flash, HDR, panorama",HSDPA 850 / 900 / 1900 / 2100 - 5048Y
HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - 5001A/5001J,About 80 EUR,microUSB 2.0,,,Nano-SIMNano-SIM + Nano-SIM,GSM / HSPA / LTE,153.2 g (5.40 oz),,FM radio,Unisoc SC9863A (28 nm),,"Li-Ion 2460 mAh, removable","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,"1, 3, 5, 7, 8, 20, 28, 38, 40 - 5001T","Fingerprint (under display, optical) - market dependant, accelerometer, proximity",,,,"5 MP, f/2.2, 28mm (wide), 1/5.0"", 1.12µm",Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,1080p@30fps,,,"2019, September",,No,Yes,LED flash,,"4.2, A2DP, LE","Anthracite Black, Metallic Blue, Metallic Gold, Metallic Rose",,,"480 x 960 pixels, 18:9 ratio (~195 ppi density)",GSM 850 / 900 / 1800 / 1900,,"1, 3, 7, 8, 20, 28 - 5001D","1, 3, 5, 7, 8, 20, 28 - 5001U",1080p@30fps,,,,alcatel,,"Available. Released 2019, Q4",IPS LCD,,,Yes,,,"1, 2, 3, 4, 5, 7, 8, 13, 28, 66 - 5001A/5001J",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,microSDXC,alcatel 1v (2019),,"5.5 inches, 78.1 cm2(~72.5% screen-to-body ratio)",,149.1 x 72.2 x 8.9 mm (5.87 x 2.84 x 0.35 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-1v-2019.jpg,,,"5 MP, f/2.2, 28mm (wide), 1/5.0"", 1.12µmor8 MP, f/2.2, 28mm (wide), 1/4.0"", 1.12µm","5001D, 5001A, 5001U, 5001T, 5001J, 5001D_EEA",Android 9.0 Pie (Go edition),,"16GB 1GB RAM, 16GB 2GB RAM, 16GB 3GB RAM",,"LED flash, HDR, panorama",HSDPA 800 / 850 / 900 / 1900 / 2100 - 5001D/5001U/5001T
eMMC 5.1,About 140 EUR,microUSB 2.0,,No,Micro-SIM,LTE,279 g (9.84 oz),No,FM radio,Mediatek MT8765,,Li-Po 4080 mAh,LTE,,,,,Accelerometer,"Glass front, plastic back, plastic frame",,,"2 MP, f/2.8, (wide), 1/5.0"", 1.65µm",Quad-core 1.28 GHz,,720p@30fps,,,"2018, October 08",,No,Yes,,,"4.2, A2DP, LE","Black, Blue",,,"800 x 1280 pixels, 16:10 ratio (~189 ppi density)",N/A,,"2, 4, 5, 12, 66, 71",,1080p@30fps,,,,alcatel,,"Available. Released 2018, October 08",IPS LCD,,,Yes,,,,,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct",,,microSDXC (dedicated slot),alcatel 3T 8,,"8.0 inches, 185.6 cm2(~70.9% screen-to-body ratio)",,209.5 x 125 x 8.3 mm (8.25 x 4.92 x 0.33 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-3t-8.jpg,,,"5 MP, f/2.4, (wide), 1/5.0"", 1.12µm","9027Q, 9027W, 9032X, 9032T, 9032X_EEA",Android 8.1 (Oreo),,"16GB 1GB RAM, 32GB 2GB RAM, 32GB 3GB RAM",,,N/A
Built-in kickstand,About 80 EUR,microUSB 2.0,,No,No,No cellular connectivity,268 g (9.45 oz),No,FM radio,Mediatek MT8167D,,"Li-Ion 2580 mAh, non-removable",No,,,,,Accelerometer,,,,"2 MP, f/2.4, 1/5.0"", 1.65µm",Quad-core 1.3 GHz Cortex-A53,IMG GE8300,,,,"2019, September",,No,"Yes, with dual speakers",,,"4.2, A2DP, LE",Black,,,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",N/A,,N/A,,,,,,alcatel,,"Available. Released 2019, Q4",TN TFT LCD,,,Yes,,,,,Wi-Fi 802.11 b/g/n,,,microSDXC (dedicated slot),alcatel Smart Tab 7,,"7.0 inches, 137.9 cm2(~62.2% screen-to-body ratio)",,176 x 126 x 12 mm (6.93 x 4.96 x 0.47 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-smart-tab-7-2019.jpg,,,"0.3 MP, f/2.4, 1/5.0""",,Android 9.0 (Pie),,16GB 1.5GB RAM,,,N/A
,,microUSB 2.0,,,Nano-SIM,GSM / HSPA / LTE,440 g (15.52 oz),,FM radio,Mediatek MT8765WB,,"Li-Ion 4080 mAh, non-removable","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,,,,"Accelerometer, proximity",,,,"2 MP, f/2.8, 1/5.0"", 1.65µm",Quad-core 1.3 GHz Cortex-A53,PowerVR GE8100,720p@30fps,,,"2019, February",,No,Yes,,,"4.2, A2DP, LE","Prime Black, Midnight Blue",,,"800 x 1280 pixels, 16:10 ratio (~151 ppi density)",GSM 850 / 900 / 1800 / 1900,,"1, 3, 7, 8, 20, 28",,720p@30fps,,,,alcatel,,"Available. Released 2019, Q1",IPS LCD,,,Yes,,,,,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct",,,microSDXC (dedicated slot),alcatel 3T 10,,"10.0 inches, 290.0 cm2(~71.2% screen-to-body ratio)",,260 x 156.6 x 9 mm (10.24 x 6.17 x 0.35 in),No,https://fdn2.gsmarena.com/vv/bigpic/alcatel-3t-10-2019.jpg,,,"2 MP, f/2.8, 1/5.0"", 1.65µm","8088L, 8088Q, 8088X, 8088X_EEA","Android 8.1 (Oreo), upgradable to Android 9.0 (Pie)",,16GB 2GB RAM,,,HSDPA 850 / 900 / 1900 / 2100
eMMC 5.1,,microUSB 2.0,,,Nano-SIM + Nano-SIM,GSM / HSPA / LTE,145 g (5.11 oz),,FM radio,Mediatek MT6739 (28 nm) - EuropeQualcomm SDM429 Snapdragon 429 (12 nm),,Li-Ion 3500 mAh battery,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,,"Fingerprint (rear-mounted, market dependent), accelerometer, proximity",,,,,Quad-core 1.5 GHz Cortex-A53 - EuropeQuad-core 1.8 GHz Cortex-A53,PowerVR GE8100 - EuropeAdreno 504,720p@30fps,,,"2019, February",,Yes (market dependent),Yes,HDR,,"4.2, A2DP, LE","Anthracite black, Metallic Blue","13 MP, f/2.0, 1/3.1"", 1.12µm5 MP, f/2.4, (depth)",,"720 x 1560 pixels, 19.5:9 ratio (~289 ppi density)",GSM 850 / 900 / 1800 / 1900,,"1, 3, 7, 8, 20",,1080p@30fps,,,,alcatel,,"Available. Released 2019, Q1",IPS LCD,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,microSDXC (uses shared SIM slot),alcatel 3L,,"5.94 inches, 86.6 cm2(~82.2% screen-to-body ratio)",,151.1 x 69.7 x 8 mm (5.95 x 2.74 x 0.31 in),"GPS, GLONASS, GALILEO",https://fdn2.gsmarena.com/vv/bigpic/alcatel-3l.jpg,,,"8 MP, f/2.0, 1/4.0"", 1.12µm","5039U, 5039D, 5039D_EEA",Android 8.1 (Oreo),Asahi Dragontrail Glass,16GB 2GB RAM,,"LED flash, HDR, panorama",HSDPA 850 / 900 / 1900 / 2100
eMMC 5.1,,microUSB 2.0,,,Nano-SIM + Nano-SIM,GSM / HSPA / LTE,145 g (5.11 oz),,FM radio,Qualcomm SDM439 Snapdragon 439 (12 nm),,"Li-Ion 3500 mAh, non-removable","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,,"Fingerprint (rear-mounted), accelerometer, proximity, compass",,,,,Octa-core (4x1.95 GHz Cortex-A53 & 4x1.45 GHz Cortex A53),Adreno 505,720p@30fps,,,"2019, February",,Yes (market dependent),Yes,HDR,,"4.2, A2DP, LE","Blue-purple gradient, Black-blue gradien","13 MP, f/2.0, 1/3.1"", 1.12µm5 MP, f/2.4, (depth)",,"720 x 1560 pixels, 19.5:9 ratio (~289 ppi density)",GSM 850 / 900 / 1800 / 1900,,"1, 3, 7, 8, 20, 28",,1080p@30fps,,,,alcatel,,"Available. Released 2019, Q1",IPS LCD,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,microSDXC (uses shared SIM slot),alcatel 3 (2019),,"5.94 inches, 86.6 cm2(~82.2% screen-to-body ratio)",,151.1 x 69.7 x 8 mm (5.95 x 2.74 x 0.31 in),"GPS, GLONASS, GALILEO",https://fdn2.gsmarena.com/vv/bigpic/alcatel-3-2019.jpg,,,"8 MP, f/2.0, 1/4.0"", 1.12µm","5053K, 5053A, 5053Y, 5053D, 5053Y_EEA, 5053D_EEA",Android 8.1 (Oreo),Asahi Dragontrail Glass,"32GB 3GB RAM, 64GB 4GB RAM",,"LED flash, HDR, panorama",HSDPA 850 / 900 / 1900 / 2100
,,microUSB 2.0,,,Nano-SIM + Nano-SIM,GSM / HSPA / LTE,146 g (5.15 oz),,FM radio,Unisoc SC9863 (28 nm),,"Li-Ion 3060 mAh, non-removable","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,,"Fingerprint (rear-mounted), accelerometer, proximity",,,,,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,720p@30fps,,,"2019, February",,No,Yes,HDR,,"4.2, A2DP, LE","Blue, Black, Rose, Gold","13 MP, f/2.0, 1/3.1"", 1.12µm2 MP, (depth)",,"720 x 1440 pixels, 18:9 ratio (~293 ppi density)",GSM 850 / 900 / 1800 / 1900,,"1, 3, 7, 8, 20, 28",,1080p@30fps,,,,alcatel,,"Available. Released 2019, Q1",IPS LCD,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,microSDXC (uses shared SIM slot),alcatel 1s,,"5.5 inches, 78.1 cm2(~74.7% screen-to-body ratio)",,147.8 x 70.7 x 8.6 mm (5.82 x 2.78 x 0.34 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-1s.jpg,,,"5 MP, f/2.2, 1/5.0"", 1.12µm","5024A, 5024D, 5024I, 5024J, 5024D_EEA, 5024F, 5024F_EEA, 5024D_RU",Android 9.0 (Pie),,"32GB 3GB RAM, 64GB 4GB RAM",,"LED flash, HDR, panorama",HSDPA 850 / 900 / 1900 / 2100
HSDPA 850 / 900 / 1900 / 2100 - 5059X/Y/D/J/T/I,About 120 EUR,microUSB 2.0,,,Nano-SIMNano-SIM + Nano-SIM,GSM / HSPA / LTE,130 g (4.59 oz),,FM radio,Mediatek MT6739 (28 nm),,"Li-Ion 3000 mAh, removable","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,,"Fingerprint (rear-mounted, 5008T only), accelerometer, proximity",,,,,Quad-core 1.5 GHz Cortex-A53,PowerVR GE8100,720p,,,"2019, January",,No,Yes,LED flash,,"4.2, A2DP, LE","Pebble Blue, Pebble Black",13 MP2 MP,,"720 x 1440 pixels, 18:9 ratio (~293 ppi density)",GSM 850 / 900 / 1800 / 1900,,"1, 3, 5, 7, 8, 28, 38, 40 - 5008T",eMMC 5.1,1080p@30fps,,,,alcatel,,"Available. Released 2019, Q1",IPS LCD,,,Yes,,,"1, 3, 7, 8, 20, 28 - 5008Y",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,microSDXC,alcatel 1x (2019),,"5.5 inches, 78.1 cm2(~77.5% screen-to-body ratio)",,146.4 x 68.8 x 8.3 mm (5.76 x 2.71 x 0.33 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-1x-2019.jpg,,,5 MP,"5008T, 5008Y, 5008U, 5008R, 5008D_EEA, 5008Y_EEA, 5008D",Android 8.1 (Oreo),,16GB 2GB RAM,,"LED flash, HDR",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - 5059A
HSDPA 850 / 900 / 1900 / 2100,About 70 EUR,microUSB 2.0,,,Nano-SIMNano-SIM + Nano-SIM,GSM / HSPA,148 g (5.22 oz),,FM radio,Spreadtrum SC7731E,,Li-Ion 2000 mAh battery,HSPA 42.2/5.76 Mbps,,,,,"Accelerometer, proximity",,,,2 MP,Quad-core 1.3 GHz Cortex-A53,,720p@30fps,,,"2019, January",,No,Yes,LED flash,,"4.2, A2DP, LE","Enamel Blue, Blush Pink, Volcano Black",,,"480 x 960 pixels, 18:9 ratio (~215 ppi density)",GSM 850 / 900 / 1800 / 1900,,,,720p@30fps,,,,alcatel,,"Available. Released 2019, Q1",IPS LCD,,,Yes,,,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,microSDHC,alcatel 1c (2019),,"5.0 inches, 64.5 cm2(~72.3% screen-to-body ratio)",,136.6 x 65.3 x 10 mm (5.38 x 2.57 x 0.39 in),GPS,https://fdn2.gsmarena.com/vv/bigpic/alcatel-1c-2019.jpg,,,5 MP,"5009A, 5009D, 5003G, 5003D_EEA, 5003D, 5003A, 5003U",Android 8.1 Oreo (Go edition),,8GB 1GB RAM,,"LED flash, HDR",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100
