,Charging,Display,Protection,Models,Loudspeaker,Talk time,SAR EU,Size,3G bands,4G bands,Loudspeaker_1,Features,Talk time_1,Status,Radio,Camera,Chipset,Brand,Type,Bluetooth,Type_1,Java,_3,Model Name,Price,Announced,Sensors,_4,NFC,USB,Dual_1,WLAN,GPU,EDGE,Internal,SAR,5G bands,Dimensions,Video,Single,_1,Card slot,Games,Battery (old),_5,Music play,Speed,Colors,Performance,Keyboard,Technology,Alert types,Infrared port,Features_1,Audio quality,256GB 8GB RAM,256GB 12GB RAM,Model Image,Positioning,Browser,Stand-by_1,Stand-by,2G bands,Dual,OS,SIM,_6,Phonebook,Weight,Single_1,Resolution,CPU,GPRS,_2,Messaging,Call records,Quad,Video_1,Triple,Build,3.5mm jack
eMMC 5.1,10W wired,,,,Yes,,,"6.82 inches, 110.5 cm2(~80.7% screen-to-body ratio)",HSDPA 850 / 900 / 2100,"1, 3, 5, 7, 8, 20, 38, 40, 41",,LED flash,,"Available. Released 2023, April 17",Unspecified,,Unisoc T606 (12 nm),HTC,"IPS LCD, 450 nits (typ)","5.0, A2DP, LE",Li-Po 4600 mAh,,,HTC Wildfire E2 Play,,"2023, April 17","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,No,USB Type-C 2.0,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Mali-G57 MP1,,128GB 8GB RAM,,,174.2 x 78.6 x 9.3 mm (6.86 x 3.09 x 0.37 in),1080p@30fps,"8 MP, f/2.2, (wide)",,microSDXC,,,,,"HSPA, LTE","Black, Blue",,,GSM / HSPA / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e2-plus.jpg,"GPS, GLONASS, GALILEO",,,,GSM 850 / 900 / 1800 / 1900,,Android 12,Nano-SIM + Nano-SIM,,,210 g (7.41 oz),,720 x 1640 pixels (~263 ppi density),Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),,,,,"48 MP, f/2.2, (wide), PDAF5 MP, (ultrawide)2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",720p,,"Glass front, plastic back, plastic frame",Yes
eMMC 5.1,10W wired,,,,Yes,,,"6.52 inches, 102.6 cm2(~81.4% screen-to-body ratio)",HSDPA 850 / 900 / 2100,"1, 3, 5, 7, 8, 20, 34, 38, 40, 41",,LED flash,,"Available. Released 2023, April 10",Unspecified,,Unisoc SC9863A (28 nm),HTC,IPS LCD,"4.2, A2DP",Li-Po 5000 mAh,,,HTC Wildfire E3 lite,,"2023, April 10","Fingerprint (side-mounted), accelerometer, proximity",,No,USB Type-C 2.0,,Wi-Fi 802.11 a/b/g/n,IMG8322,,"32GB 3GB RAM, 64GB 4GB RAM",,,164.8 x 76.5 x 9.2 mm (6.49 x 3.01 x 0.36 in),1080p@30fps,"5 MP, f/2.0",,microSDXC,,,,,"HSPA, LTE","Black, Blue",,,GSM / HSPA / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e3-lite.jpg,"GPS, GLONASS, GALILEO",,,,GSM 850 / 900 / 1800 / 1900,"13 MP, f/2.2, (wide), AF2 MP, f/2.4, (depth)",Android 12,Nano-SIM + Nano-SIM,,,218 g (7.69 oz),,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),,,,,,720p,,"Glass front, plastic back, plastic frame",Yes
eMMC 5.1,,,,,Yes,,,"6.52 inches, 102.6 cm2(~82.4% screen-to-body ratio)",HSDPA 850 / 900 / 2100,LTE,,LED flash,,"Available. Released 2022, October 24",Unspecified,,Mediatek MT6739 (28 nm),HTC,IPS LCD,"4.2, A2DP",Li-Po 5150 mAh,,,HTC Wildfire E plus,About 130 EUR,"2022, October 24","Accelerometer, compass",,No,USB Type-C 2.0,,Wi-Fi 802.11 b/g/n,PowerVR GE8100,,32GB 2GB RAM,,,164.1 x 75.9 x 8.8 mm (6.46 x 2.99 x 0.35 in),1080p@30fps,5 MP,,microSDXC (dedicated slot),,,,,"HSPA, LTE",Black,,,GSM / HSPA / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e-plus.jpg,"GPS, GLONASS, BDS",,,,GSM 850 / 900 / 1800 / 1900,"13 MP, (wide), AF5 MP",Android 12 (Go edition),Nano-SIM + Nano-SIM,,,190 g (6.70 oz),,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",Quad-core 1.5 GHz Cortex-A53,,,,,,Yes,,"Glass front, plastic back, plastic frame",Yes
IP67 dust/water resistant (up to 1m for 30 min),18W wiredWirelessReverse wired,,Corning Gorilla Glass,,Yes,,,"6.6 inches, 104.8 cm2(~82.0% screen-to-body ratio)",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 3, 5, 7, 8, 20, 28, 38, 39, 40, 41",,"Dual-LED flash, HDR, panorama",,"Available. Released 2022, July 10",Unspecified,,Qualcomm SM6375 Snapdragon 695 5G (6 nm),HTC,"IPS LCD, 120Hz","5.1, A2DP, LE",Li-Po 4520 mAh,,,HTC Desire 22 Pro,About 460 EUR,"2022, June 28","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,Yes,"USB Type-C 2.0, OTG",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Adreno 619,,128GB 8GB RAM,,"1, 3, 7, 20, 28, 41, 78 SA/NSA",166.3 x 76.9 x 9.4 mm (6.55 x 3.03 x 0.37 in),1080p@30fps,"32 MP, f/2.0, (wide)",,microSDXC (uses shared SIM slot),,,,,"HSPA, LTE, 5G","Wave Gold, Starry Night Black",,,GSM / HSPA / LTE / 5G,,,HDR,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-22-pro.jpg,"GPS, GLONASS, GALILEO, BDS",,,,GSM 850 / 900 / 1800 / 1900,,Android 12,Nano-SIM + Nano-SIM,,,205.5 g (7.27 oz),,"1080 x 2412 pixels, 20:9 ratio (~400 ppi density)",Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),,,,,,1080p@30fps,"64 MP, f/1.8, (wide), PDAF13 MP, f/2.4, 118˚ (ultrawide)5 MP, f/2.4, (depth)",,Yes
eMMC 5.1,10W wired,,,,Yes,,,"6.82 inches, 110.5 cm2(~80.7% screen-to-body ratio)",HSDPA 850 / 900 / 2100,"1, 3, 5, 7, 8, 20, 38, 40, 41",,LED flash,,"Available. Released 2021, December 14",Unspecified,,Unisoc T610 (12 nm),HTC,"IPS LCD, 450 nits (typ)","5.0, A2DP, LE",Li-Po 4600 mAh,,,HTC Wildfire E2 Plus,About 160 EUR,"2021, December 14","Fingerprint (rear-mounted), accelerometer, proximity, compass",,No,"USB Type-C 2.0, OTG",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Mali-G52 MP2,,64GB 4GB RAM,,,174.2 x 78.6 x 9.3 mm (6.86 x 3.09 x 0.37 in),1080p@30fps,"8 MP, f/2.2, (wide)",,microSDXC (uses shared SIM slot),,,,,"HSPA, LTE",Black,,,GSM / HSPA / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e2-plus.jpg,"GPS, GLONASS, GALILEO, BDS",,,,GSM 850 / 900 / 1800 / 1900,,Android 11,Nano-SIM + Nano-SIM,,,210 g (7.41 oz),,720 x 1640 pixels (~263 ppi density),Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,,,,"13 MP, f/2.2, (wide), PDAF5 MP, (ultrawide)2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",720p,,"Glass front, plastic back, plastic frame",Yes
eMMC 5.1,10W wired,,,,Yes,,,"6.52 inches, 104.4 cm2(~82.2% screen-to-body ratio)",HSDPA 900 / 2100,"1, 3, 5, 7, 8, 20, 38, 40",,"LED flash, HDR, panorama",,"Available. Released 2021, April 11",FM radio,,Mediatek MT6762 Helio P22 (12 nm),HTC,IPS LCD,"4.2, A2DP, LE",Li-Po 4000 mAh,,,HTC Wildfire E3,About 130 EUR,"2021, March 15","Fingerprint (rear-mounted), accelerometer, proximity, compass",,No,"USB Type-C 2.0, OTG",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",PowerVR GE8320,,"64GB 4GB RAM, 128GB 4GB RAM",,,165.7 x 76.6 x 9 mm (6.52 x 3.02 x 0.35 in),1080p@30fps,"13 MP, f/2.0, (wide), 1/3.1"", 1.12µm",,microSDXC (uses shared SIM slot),,,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/75 Mbps","Blue, Black",,,GSM / HSPA / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e3.jpg,"GPS, GLONASS, GALILEO, BDS",,,,GSM 850 / 900 / 1800 / 1900,,Android 10,Nano-SIM + Nano-SIM,,,186 g (6.56 oz),,"720 x 1560 pixels, 19.5:9 ratio (~264 ppi density)",Octa-core 1.8 GHz Cortex-A53,,,,,"13 MP, f/2.0, (wide), PDAF8 MP, f/2.2, (ultrawide)2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",720p@30fps,,"Glass front, plastic back, plastic frame",Yes
,"18W wired, QC4",,,,Yes,,,"6.7 inches, 108.4 cm2(~83.0% screen-to-body ratio)",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 3, 5, 7, 8, 20, 28, 38, 39, 40, 41",,"Dual-LED flash, HDR, panorama",,"Available. Released 2021, January 21",No,,Qualcomm SM6350 Snapdragon 690 5G (8 nm),HTC,"IPS LCD, HDR10, 90Hz","5.1, A2DP, LE",Li-Po 5000 mAh,,,HTC Desire 21 Pro 5G,About 350 EUR,"2021, January 13","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,Yes,"USB Type-C 2.0, OTG",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Adreno 619,,128GB 8GB RAM,,"1, 3, 5, 7, 28, 41, 78 SA/NSA",167.1 x 78.1 x 9.4 mm (6.58 x 3.07 x 0.37 in),"4K@30fps, 1080p@30fps, gyro-EIS","16 MP, (wide)",,microSDXC (uses shared SIM slot),,,,,"HSPA, LTE, 5G","Blue, Purple",,,GSM / HSPA / LTE / 5G,,,HDR,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-21-pro-5g.jpg,"GPS, GLONASS, GALILEO, BDS",,,,GSM 850 / 900 / 1800 / 1900,,Android 10,Nano-SIM + Nano-SIM,,,205 g (7.23 oz),,"1080 x 2400 pixels, 20:9 ratio (~393 ppi density)",Octa-core (2x2.0 GHz Kryo 560 Gold & 6x1.7 GHz Kryo 560 Silver),,,,,"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF8 MP, f/2.2, 118˚ (ultrawide)2 MP, f/2.4, (macro)5 MP, f/2.4, (depth)",1080p@30fps,,,No
,"15W wired, QC4",,,,Yes,,,"6.5 inches, 102.0 cm2(~81.7% screen-to-body ratio)",HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,"Dual-LED flash, HDR, panorama",,"Available. Released 2020, October 22",No,,Qualcomm SM7125 Snapdragon 720G (8 nm),HTC,IPS LCD,"5.0, A2DP, LE",Li-Po 5000 mAh,,,HTC Desire 20+,About 250 EUR,"2020, October 19","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,Yes,"USB Type-C 2.0, OTG",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Adreno 618,,128GB 6GB RAM,,,164.9 x 75.7 x 9 mm (6.49 x 2.98 x 0.35 in),"4K@30fps, 1080p@30fps","16 MP, f/2.0, (wide)",,microSDXC,,,,,"HSPA 42.2/5.76 Mbps, LTE, Cat6 300/75 Mbps","Dawn Orange, Twilight Black, Blue",,,GSM / HSPA / LTE,,,HDR,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-20-plus.jpg,"GPS, GLONASS, GALILEO, BDS",,,,GSM 850 / 900 / 1800 / 1900,,Android 10,Nano-SIM + Nano-SIM,,,203 g (7.16 oz),,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",Octa-core (2x2.3 GHz Kryo 465 Gold & 6x1.8 GHz Kryo 465 Silver),,,,,"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF5 MP, f/2.2, 115˚ (ultrawide)2 MP, f/2.4, (macro)5 MP, f/2.4, (depth)",1080p@30fps,,,Yes
eMMC 5.1,,,,,Yes,,,"5.45 inches, 76.7 cm2(~72.6% screen-to-body ratio)",HSDPA 900 / 2100,"1, 3, 5, 7, 8, 20, 38, 40",,"LED flash, HDR, panorama",,"Available. Released 2020, September 24",Unspecified,,Mediatek MT6761D Helio A20 (12 nm),HTC,TFT LCD,"5.0, A2DP",Li-Ion 3000 mAh,,,HTC Wildfire E1 lite,About 80 EUR,"2020, September 24","Fingerprint (rear-mounted), accelerometer, proximity",,No,microUSB 2.0,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",PowerVR GE8320,,16GB 2GB RAM,,,147.9 x 71.4 x 8.9 mm (5.82 x 2.81 x 0.35 in),1080p@30fps,"5 MP, f/2.2, (wide)",,microSDHC,,,,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/75 Mbps",Black,,,GSM / HSPA / LTE,,,HDR,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e1-lite-.jpg,"GPS, GLONASS, GALILEO",,,,GSM 850 / 900 / 1800 / 1900,"8 MP, f/2.0, (wide), AF0.3 MP, f/2.8, (depth)",Android 10 (Go edition),Nano-SIM + Nano-SIM,,,160 g (5.64 oz),,"720 x 1440 pixels, 18:9 ratio (~295 ppi density)",Quad-core 1.8 GHz Cortex-A53,,,,,,720p@30fps,,"Glass front, plastic back, plastic frame",Yes
eMMC 5.1,10W wired,,,,Yes,,,"6.22 inches, 95.0 cm2(~79.0% screen-to-body ratio)",HSDPA 850 / 900 / 1900 / 2100,LTE,,"Dual-LED dual-tone flash, HDR, panorama",,"Available. Released 2020, August 06",FM radio,,Mediatek MT6762D Helio P22 (12 nm),HTC,IPS LCD,"5.0, A2DP, LE",Li-Po 4000 mAh,,,HTC Wildfire E2,About 100 EUR,"2020, August 06","Fingerprint (rear-mounted), accelerometer, proximity, compass",,No,"USB Type-C 2.0, OTG",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",PowerVR GE8320,,64GB 4GB RAM,,,158.4 x 75.9 x 9 mm (6.24 x 2.99 x 0.35 in),1080p@30fps,"8 MP, f/2.2, (wide)",,microSDXC (uses shared SIM slot),,,,,"HSPA, LTE",Blue,,,GSM / HSPA / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e2.jpg,"GPS, GLONASS, GALILEO, BDS",,,,GSM 850 / 900 / 1800 / 1900,"16 MP, f/2.2, (wide), PDAF2 MP, f/2.2, (depth)",Android 10,Nano-SIM + Nano-SIM,,,173.5 g (6.14 oz),,"720 x 1560 pixels, 19.5:9 ratio (~276 ppi density)",Octa-core 1.8 GHz Cortex-A53,,,,,,1080p@30fps,,"Glass front, plastic back, plastic frame",Yes
eMMC 5.1,,,,,Yes,,,"6.09 inches, 91.0 cm2(~77.1% screen-to-body ratio)",HSDPA 900 / 2100,"1, 3, 7, 20, 38, 40",,LED flash,,"Available. Released 2019, December 18",FM radio,,Mediatek MT6763 Helio P23 (16 nm),HTC,IPS LCD,"4.2, A2DP",Li-Ion 3000 mAh,,,HTC Wildfire E1 plus,About 120 EUR,"2019, December 18","Fingerprint (rear-mounted), accelerometer, proximity, compass",,No,microUSB 2.0,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Mali-G71 MP2,,32GB 3GB RAM,,,157.5 x 75 x 8.9 mm (6.20 x 2.95 x 0.35 in),1080p@30fps,"16 MP, f/2.2, (wide), AF",,microSDXC (uses shared SIM slot),,,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Black, Blue, Red",,,GSM / HSPA / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e1-plus.jpg,"GPS, GLONASS, GALILEO",,,,GSM 850 / 900 / 1800 / 1900,,Android 9.0 (Pie),Nano-SIM + Nano-SIM,,,165 g (5.82 oz),"5 MP, f/2.2, (wide)","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),,,,,,720p@30fps,,"Glass front, plastic back, plastic frame",Yes
eMMC 5.1,,,,,Yes,,,"6.09 inches, 91.0 cm2(~77.1% screen-to-body ratio)",HSDPA 900 / 2100,"1, 3, 7, 20, 38, 40",,LED flash,,"Available. Released 2019, December 18",FM radio,,Mediatek MT6763 Helio P23 (16 nm),HTC,IPS LCD,"4.2, A2DP",Li-Ion 3000 mAh,,,HTC Wildfire E1,About 90 EUR,"2019, December 18","Fingerprint (rear-mounted), accelerometer, proximity, compass",,No,microUSB 2.0,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Mali-G71 MP2,,32GB 3GB RAM,,,157.5 x 75 x 8.9 mm (6.20 x 2.95 x 0.35 in),1080p@30fps,"13 MP, f/2.2, (wide), AF",,microSDXC (uses shared SIM slot),,,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Black, Gold, Blue/Violet",,,GSM / HSPA / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e1.jpg,"GPS, GLONASS, GALILEO",,,,GSM 850 / 900 / 1800 / 1900,,Android 9.0 (Pie),Nano-SIM + Nano-SIM,,,165 g (5.82 oz),"5 MP, f/2.2, (wide)","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),,,,,,1080p@30fps,,"Glass front, plastic back, plastic frame",Yes
eMMC 5.1,,,,,Yes,,,"5.45 inches, 76.7 cm2(~72.6% screen-to-body ratio)",HSDPA 900 / 2100,"1, 3, 7, 20, 38, 40",,"LED flash, HDR, panorama",,"Available. Released 2019, August 15",Unspecified,,Unisoc SC9863A (28 nm),HTC,TFT LCD,"4.2, A2DP",Li-Ion 3000 mAh,,,HTC Wildfire E,About 120 EUR,"2019, August 15","Fingerprint (rear-mounted), accelerometer, proximity, compass",,No,microUSB 2.0,,Wi-Fi 802.11 b/g/n,IMG8322,,32GB 2GB RAM,,,147.9 x 71.4 x 8.9 mm (5.82 x 2.81 x 0.35 in),1080p@30fps,"5 MP, f/2.8, (wide)",,microSDXC,,,,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","Black, Gold",,,GSM / HSPA / LTE,,,HDR,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e.jpg,"GPS, GLONASS, GALILEO",,,,GSM 850 / 900 / 1800 / 1900,"13 MP, f/2.0, (wide), AF2 MP, f/2.8, (depth)",Android 9.0 (Pie),Nano-SIM + Nano-SIM,,,160 g (5.64 oz),,"720 x 1440 pixels, 18:9 ratio (~295 ppi density)",Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),,,,,,720p@30fps,,"Glass front, plastic back, plastic frame",Yes
,"18W wired, QC4",,,,Yes,,,"6.8 inches, 111.6 cm2(~83.5% screen-to-body ratio)",HSDPA 850 / 900 / 1900 / 2100,"1, 2, 3, 5, 7, 8, 20, 28, 38, 39, 40, 41",,"Dual-LED flash, HDR, panorama",,"Available. Released 2020, October 01",No,,Qualcomm SM7250 Snapdragon 765G 5G (7 nm),HTC,IPS LCD,"5.0, A2DP, LE",Li-Po 5000 mAh,,,HTC U20 5G,,"2020, June 16","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, SAR",,Yes,USB Type-C 2.0,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Adreno 620,,"256GB 6GB RAM, 256GB 8GB RAM",,"1, 3, 28, 41, 78 SA/NSA",171.2 x 78.1 x 9.4 mm (6.74 x 3.07 x 0.37 in),"4K@30fps, 1080p@30fps, gyro-EIS","32 MP, f/2.0, (wide), 1/2.8"", 0.8µm",,microSDXC,,,,,"HSPA, LTE, 5G 2.56/0.9 Gbps","Green, White",,,GSM / HSPA / LTE / 5G,,,HDR,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-u20-5g.jpg,"GPS, GLONASS, GALILEO, BDS",,,,GSM 850 / 900 / 1800 / 1900,,Android 10,Nano-SIM + Nano-SIM,,,215.5 g (7.62 oz),,"1080 x 2400 pixels, 20:9 ratio (~387 ppi density)",Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver),,,,,"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF8 MP, f/2.2, 118˚ (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",1080p@30fps,,,No
,"15W wired, QC3",,,,Yes,,,"6.5 inches, 103.7 cm2(~83.1% screen-to-body ratio)",HSDPA 850 / 900 / 1900 / 2100,"1, 2, 3, 5, 7, 8, 20, 28, 38, 39, 40, 41",,"Dual-LED flash, HDR, panorama",,"Available. Released 2020, July 18",FM radio,,Qualcomm SM6125 Snapdragon 665 (11 nm),HTC,IPS LCD,"5.0, A2DP, LE",Li-Po 5000 mAh,,,HTC Desire 20 Pro,About 660 EUR,"2020, June 16","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,Yes,"USB Type-C 2.0, OTG",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Adreno 610,,128GB 6GB RAM,,,162 x 77 x 9.4 mm (6.38 x 3.03 x 0.37 in),"4K@30fps, 1080p@30fps","25 MP, f/2.0, (wide)",,microSDXC,,,,,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat13 400/150 Mbps","Smoky Black, Pretty Blue, Crystal Green",,,GSM / HSPA / LTE,,,HDR,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-desire20-pro.jpg,"GPS, GLONASS, GALILEO, BDS",,,,GSM 850 / 900 / 1800 / 1900,,Android 10,Nano-SIM + Nano-SIM,,,201 g (7.09 oz),,"1080 x 2340 pixels, 19.5:9 ratio (~396 ppi density)",Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),,,,,"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF8 MP, f/2.2, 118˚ (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",1080p@30fps,,,Yes
eMMC 5.1,10W wired,,,,Yes,,,"6.2 inches, 95.9 cm2(~82.1% screen-to-body ratio)",HSDPA 850 / 900 / 1900 / 2100,"1, 2, 3, 5, 7, 8, 20, 28, 38, 39, 40, 41",,"Dual-LED dual-tone flash, HDR, panorama",,"Available. Released 2019, November 14",FM radio,,Mediatek MT6762 Helio P22 (12 nm),HTC,IPS LCD,"5.0, A2DP, LE","Li-Ion 3850 mAh, non-removable",,,HTC Desire 19s,About 180 EUR,"2019, November 14","Fingerprint (rear-mounted), accelerometer, proximity, compass",,Yes,"USB Type-C 2.0, OTG",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",PowerVR GE8320,,32GB 3GB RAM,,,156.2 x 74.8 x 8.5 mm (6.15 x 2.94 x 0.33 in),1080p@30fps,"16 MP, f/2.0, 27mm (wide), 1/3.06"", 1.0µm",,microSDXC (uses shared SIM slot),,,,,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps","Blue, Black",,,GSM / HSPA / LTE,,,HDR,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-desire-19s.jpg,"GPS, GLONASS, BDS",,,,GSM 850 / 900 / 1800 / 1900,,Android 9 (Pie),Nano-SIM + Nano-SIM,,,170 g (6.00 oz),,"720 x 1520 pixels, 19:9 ratio (~271 ppi density)",Octa-core 2.0 GHz Cortex-A53,,,,,,1080p@30fps,"13 MP, f/1.9, 26mm (wide), PDAF5 MP, f/2.2, 13mm (ultrawide)5 MP, f/2.2, (depth)","Glass front, plastic back, plastic frame",Yes
eMMC 5.1,,,,,Yes,,,"5.7 inches, 83.8 cm2(~74.8% screen-to-body ratio)",HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,"LED flash, HDR, panorama",,"Available. Released 2019, December",No,,Qualcomm SDM435 Snapdragon 435 (28 nm),HTC,IPS LCD,"5.0, A2DP","Li-Ion 3075 mAh, non-removable",,,HTC Exodus 1s,About 220 EUR,"2019, October 19","Fingerprint (rear-mounted), accelerometer, proximity, compass",,No,microUSB 2.0,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Adreno 505,,64GB 4GB RAM,,,154.2 x 72.7 x 8.3 mm (6.07 x 2.86 x 0.33 in),"4K@30fps, 1080p@30fps","13 MP, PDAF",Zion crypto walletSecure EnclaveSocial Key Recovery (key sharding)dApps (decentralized apps)Bitcoin Full Node support,No,,,,,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",Black,,,GSM / HSPA / LTE,,,"LED flash, HDR",,,,https://fdn2.gsmarena.com/vv/bigpic/htc-exodus-1s-.jpg,"GPS, GLONASS, GALILEO, BDS",,,,GSM 850 / 900 / 1800 / 1900,,Android 8.1 (Oreo),Nano-SIM + Nano-SIM,,,150 g (5.29 oz),13 MP,"720 x 1440 pixels, 18:9 ratio (~282 ppi density)",Octa-core 1.4 GHz Cortex-A53,,,,,,1080p@30fps,,"Glass front, plastic back, plastic frame",Yes
eMMC 5.1,10W wired,,,,Yes,,,"6.2 inches, 95.9 cm2(~81.7% screen-to-body ratio)",HSDPA 900 / 2100,"1, 3, 5, 8, 40, 41",,"Dual-LED dual-tone flash, HDR, panorama",,"Available. Released 2019, August 22",FM radio,,Mediatek MT6762 Helio P22 (12 nm),HTC,IPS LCD,"4.1, A2DP, LE","Li-Po 3300 mAh, non-removable",,,HTC Wildfire X,About 150 EUR,"2019, August 14","Fingerprint (rear-mounted), accelerometer, gyro, proximity",,No,"USB Type-C 2.0, OTG",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",PowerVR GE8320,,"32GB 3GB RAM, 128GB 4GB RAM",,,156.7 x 74.9 x 8 mm (6.17 x 2.95 x 0.31 in),1080p@30fps,8 MP,,microSDXC (uses shared SIM slot),,,,,"HSPA, LTE",Sapphire Blue,,,GSM / HSPA / LTE,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-x-.jpg,"GPS, GLONASS, BDS",,,,GSM 850 / 900 / 1800 / 1900,,Android 9 (Pie),Nano-SIM + Nano-SIM,,,160 g (5.64 oz),,"720 x 1520 pixels, 19:9 ratio (~271 ppi density)",Octa-core 2.0 GHz Cortex-A53,,,,,,1080p@30fps,"12 MP, (wide), 1/2.8"", 1.25µm, PDAF8 MP, (telephoto), 2x optical zoom5 MP, f/2.4, (depth)",,Yes
